epochs,Dataset,Model,F1
20.0,CTGAN,DecisionTree,0.5795
40.0,CTGAN,DecisionTree,0.58348
60.0,CTGAN,DecisionTree,0.59044
80.0,CTGAN,DecisionTree,0.59222
100.0,CTGAN,DecisionTree,0.54916
120.0,CTGAN,DecisionTree,0.59034
150.0,CTGAN,DecisionTree,0.5532999999999999
200.0,CTGAN,DecisionTree,0.52696
200.0,TVAE,DecisionTree,0.59234
250.0,CTGAN,DecisionTree,0.56874
250.0,TVAE,DecisionTree,0.6025400000000001
300.0,CTGAN,DecisionTree,0.57034375
300.0,GaussianCopula,DecisionTree,0.6959
300.0,TVAE,DecisionTree,0.57578125
400.0,CTGAN,DecisionTree,0.60326
400.0,TVAE,DecisionTree,0.5975400000000001
500.0,CTGAN,DecisionTree,0.59062
500.0,TVAE,DecisionTree,0.6276200000000001
1000.0,CTGAN,DecisionTree,0.57382
1000.0,TVAE,DecisionTree,0.75328
