Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5694,0.5802,0.5694,0.5744,,,0.0106,0.0107,0.2,10.0,5.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,10.0,5.0,0.1,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,10.0,5.0,0.1,,
RandomForest,Anonymous,0.6111,0.6011,0.6111,0.6057,,,0.0597,0.0598,0.2,10.0,5.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,10.0,5.0,0.1,,
DecisionTree,Anonymous,0.5486,0.5678,0.5486,0.5571,,,-0.0183,-0.0184,0.2,15.0,5.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,5.0,0.1,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,5.0,0.1,,
RandomForest,Anonymous,0.6181,0.6205,0.6181,0.6192,,,0.1057,0.1057,0.2,15.0,5.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,5.0,0.1,,
DecisionTree,Anonymous,0.5208,0.5882,0.5208,0.5396,,,0.0259,0.0277,0.2,2.0,5.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,5.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,5.0,0.1,,
RandomForest,Anonymous,0.625,0.6345,0.625,0.6293,,,0.1383,0.1386,0.2,2.0,5.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,5.0,0.1,,
DecisionTree,Anonymous,0.5347,0.5804,0.5347,0.5508,,,0.0107,0.011,0.2,3.0,5.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,5.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,5.0,0.1,,
RandomForest,Anonymous,0.625,0.6202,0.625,0.6225,,,0.105,0.105,0.2,3.0,5.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,5.0,0.1,,
DecisionTree,Anonymous,0.5208,0.5828,0.5208,0.5393,,,0.0151,0.016,0.2,5.0,5.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,5.0,5.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,5.0,5.0,0.1,,
RandomForest,Anonymous,0.5833,0.5989,0.5833,0.5902,,,0.0543,0.0545,0.2,5.0,5.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,5.0,5.0,0.1,,
