Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,CTGAN,0.4161,0.4407,0.4161,0.427,,,0.0178,0.0179,0.2,,,,100.0,974477.0,260402
DecisionTree,TVAE,0.4019,0.4464,0.4019,0.4172,0.5091,21.5567,0.0259,0.0265,0.2,,,,100.0,974477.0,260402
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,100.0,974477.0,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,1.3534,0.0,0.0,0.2,,,,100.0,974477.0,260402
LogisticRegression,CTGAN,0.5861,0.3461,0.5861,0.4352,,,-0.0027,-0.0198,0.2,,,,100.0,974477.0,260402
LogisticRegression,TVAE,0.5698,0.4918,0.5698,0.4927,0.6585,1.0818,0.0785,0.0962,0.2,,,,100.0,974477.0,260402
RandomForest,CTGAN,0.589,0.5677,0.589,0.4378,,,0.0018,0.0181,0.2,,,,100.0,974477.0,260402
RandomForest,TVAE,0.5807,0.4943,0.5807,0.5084,0.5869,1.2817,0.109,0.1285,0.2,,,,100.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,100.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,100.0,974477.0,260402
DecisionTree,CTGAN,0.3896,0.4545,0.3896,0.4078,,,0.0358,0.0375,0.2,,,,1000.0,974477.0,260402
DecisionTree,TVAE,0.398,0.444,0.398,0.415,0.508,21.7,0.0225,0.023,0.2,,,,1000.0,974477.0,260402
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,1000.0,974477.0,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,6.8204,0.0,0.0,0.2,,,,1000.0,974477.0,260402
LogisticRegression,CTGAN,0.5532,0.5202,0.5532,0.5128,,,0.1756,0.1836,0.2,,,,1000.0,974477.0,260402
LogisticRegression,TVAE,0.564,0.4742,0.564,0.4791,0.6426,1.0986,0.0507,0.0648,0.2,,,,1000.0,974477.0,260402
RandomForest,CTGAN,0.5305,0.5085,0.5305,0.4953,,,0.1572,0.1662,0.2,,,,1000.0,974477.0,260402
RandomForest,TVAE,0.5734,0.4804,0.5734,0.487,0.5888,1.2704,0.0648,0.0834,0.2,,,,1000.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,1000.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,1000.0,974477.0,260402
DecisionTree,CTGAN,0.3963,0.4368,0.3963,0.4128,,,0.0126,0.0127,0.2,,,,300.0,974477.0,260402
DecisionTree,GaussianCopula,0.3913,0.4266,0.3913,0.4062,,,-0.0051,-0.0051,0.2,,,,300.0,974477.0,260402
DecisionTree,TVAE,0.388,0.4415,0.388,0.4072,0.5095,22.0572,0.0185,0.0189,0.2,,,,300.0,974477.0,260402
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
KNN,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
KNN,TVAE,0.1637,0.0268,0.1637,0.046,0.5,1.4787,0.0,0.0,0.2,,,,300.0,974477.0,260402
LogisticRegression,CTGAN,0.5754,0.4742,0.5754,0.4827,,,0.0634,0.0836,0.2,,,,300.0,974477.0,260402
LogisticRegression,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
LogisticRegression,TVAE,0.5449,0.4992,0.5449,0.5011,0.6549,1.0776,0.1452,0.1521,0.2,,,,300.0,974477.0,260402
RandomForest,CTGAN,0.5702,0.4831,0.5702,0.4789,,,0.0537,0.0698,0.2,,,,300.0,974477.0,260402
RandomForest,GaussianCopula,0.5869,0.4478,0.5869,0.441,,,0.0039,0.0154,0.2,,,,300.0,974477.0,260402
RandomForest,TVAE,0.5853,0.4901,0.5853,0.5012,0.6023,1.221,0.0979,0.1225,0.2,,,,300.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
DecisionTree,CTGAN,0.3892,0.4484,0.3892,0.4085,,,0.0294,0.0304,0.2,,,,500.0,974477.0,260402
DecisionTree,TVAE,0.4526,0.4675,0.4526,0.4589,0.52,19.7318,0.0642,0.0644,0.2,,,,500.0,974477.0,260402
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,500.0,974477.0,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,9.3154,0.0,0.0,0.2,,,,500.0,974477.0,260402
LogisticRegression,CTGAN,0.569,0.5318,0.569,0.5165,,,0.1592,0.1691,0.2,,,,500.0,974477.0,260402
LogisticRegression,TVAE,0.5836,0.5208,0.5836,0.4902,0.6622,1.2026,0.0827,0.1096,0.2,,,,500.0,974477.0,260402
RandomForest,CTGAN,0.5535,0.5017,0.5535,0.5073,,,0.1579,0.1656,0.2,,,,500.0,974477.0,260402
RandomForest,TVAE,0.592,0.5063,0.592,0.4907,0.6067,1.3188,0.0789,0.1154,0.2,,,,500.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,500.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,500.0,974477.0,260402
DecisionTree,CTGAN,0.3739,0.4478,0.3739,0.3975,,,0.026,0.0271,0.2,,,,300,10000,260402
DecisionTree,GaussianCopula,0.3905,0.4258,0.3905,0.4048,,,-0.007,-0.0071,0.2,,,,300,10000,260402
DecisionTree,TVAE,0.4208,0.4583,0.4208,0.4352,0.5145,20.8762,0.0466,0.0473,0.2,,,,300,10000,260402
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
KNN,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,14.8203,0.0,0.0,0.2,,,,300,10000,260402
LogisticRegression,CTGAN,0.5753,0.4954,0.5753,0.5152,,,0.141,0.1532,0.2,,,,300,10000,260402
LogisticRegression,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
LogisticRegression,TVAE,0.513,0.4932,0.513,0.4985,0.6241,1.1542,0.1069,0.1083,0.2,,,,300,10000,260402
RandomForest,CTGAN,0.5591,0.4933,0.5591,0.5074,,,0.117,0.1253,0.2,,,,300,10000,260402
RandomForest,GaussianCopula,0.5878,0.4698,0.5878,0.4434,,,0.0079,0.0283,0.2,,,,300,10000,260402
RandomForest,TVAE,0.5402,0.4892,0.5402,0.5074,0.5855,1.3149,0.1098,0.1136,0.2,,,,300,10000,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
