Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5694,0.5639,0.5694,0.5666,0.4864,15.5188,-0.0276,-0.0276
DecisionTree,Original,0.7986,0.7974,0.7986,0.798,0.7595,7.2588,0.5224,0.5225
DecisionTree,TVAE,0.6458,0.5711,0.6458,0.5885,0.4968,12.7655,-0.0077,-0.0091
KNN,CTGAN,0.6875,0.5845,0.6875,0.5778,0.4959,2.2986,0.0037,0.0088
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
KNN,TVAE,0.6667,0.4762,0.6667,0.5556,0.5134,5.8334,-0.0537,-0.1121
LogisticRegression,CTGAN,0.6597,0.5201,0.6597,0.5628,0.4845,0.6871,-0.0488,-0.0798
LogisticRegression,Original,0.8472,0.8588,0.8472,0.8339,0.7905,0.4473,0.5934,0.6293
LogisticRegression,TVAE,0.7153,0.6892,0.7153,0.6842,0.698,0.9368,0.2256,0.2458
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.4533,0.6861,0.0,0.0
RandomForest,Original,0.8403,0.8473,0.8403,0.8274,0.8113,0.4455,0.578,0.6083
RandomForest,TVAE,0.6528,0.5551,0.6528,0.5775,0.6826,0.6258,-0.0274,-0.0364
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,TVAE,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
