epochs,Dataset,Model,Accuracy
20.0,CTGAN,LogisticRegression,0.6958
40.0,CTGAN,LogisticRegression,0.6944
60.0,CTGAN,LogisticRegression,0.70136
80.0,CTGAN,LogisticRegression,0.6833
100.0,CTGAN,LogisticRegression,0.6346999999999999
120.0,CTGAN,LogisticRegression,0.69164
150.0,CTGAN,LogisticRegression,0.6986000000000001
200.0,CTGAN,LogisticRegression,0.63472
200.0,TVAE,LogisticRegression,0.68472
250.0,CTGAN,LogisticRegression,0.69442
250.0,TVAE,LogisticRegression,0.6972
300.0,CTGAN,LogisticRegression,0.67880625
300.0,GaussianCopula,LogisticRegression,0.7734562500000001
300.0,TVAE,LogisticRegression,0.6706
400.0,CTGAN,LogisticRegression,0.6847000000000001
400.0,TVAE,LogisticRegression,0.73472
500.0,CTGAN,LogisticRegression,0.69858
500.0,TVAE,LogisticRegression,0.74306
1000.0,CTGAN,LogisticRegression,0.6638999999999999
1000.0,TVAE,LogisticRegression,0.81942
