epochs,Dataset,Model,Precision
20.0,CTGAN,KNN,0.61724
40.0,CTGAN,KNN,0.58046
60.0,CTGAN,KNN,0.5534
80.0,CTGAN,KNN,0.56948
100.0,CTGAN,KNN,0.59426
120.0,CTGAN,KNN,0.5733400000000001
150.0,CTGAN,KNN,0.57828
200.0,CTGAN,KNN,0.54028
200.0,TVAE,KNN,0.48230000000000006
250.0,CTGAN,KNN,0.59554
250.0,TVAE,KNN,0.48230000000000006
300.0,CTGAN,KNN,0.56778125
300.0,GaussianCopula,KNN,0.54305
300.0,TVAE,KNN,0.48989375
400.0,CTGAN,KNN,0.55196
400.0,TVAE,KNN,0.48230000000000006
500.0,CTGAN,KNN,0.5443
500.0,TVAE,KNN,0.54508
1000.0,CTGAN,KNN,0.59894
1000.0,TVAE,KNN,0.5742200000000001
