Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity
DecisionTree,Anonymous,0.6417,0.6283,0.6417,0.6339,,,0.1272,0.1279,10
DecisionTree,Original,0.7083,0.7176,0.7083,0.7122,,,0.3361,0.337,10
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,10
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,10
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,10
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,10
RandomForest,Anonymous,0.55,0.5566,0.55,0.5532,,,-0.0395,-0.0395,10
RandomForest,Original,0.8,0.7936,0.8,0.7901,,,0.4931,0.5045,10
DecisionTree,Anonymous,0.6458,0.634,0.6458,0.639,,,0.1407,0.1413,2
DecisionTree,Original,0.7,0.7201,0.7,0.707,,,0.3364,0.3401,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
RandomForest,Anonymous,0.5708,0.5756,0.5708,0.5731,,,0.005,0.005,2
RandomForest,Original,0.7917,0.7842,0.7917,0.7838,,,0.4804,0.4872,2
DecisionTree,Anonymous,0.6417,0.6283,0.6417,0.6339,,,0.1272,0.1279,3
DecisionTree,Original,0.7042,0.7174,0.7042,0.7093,,,0.3339,0.3356,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3
RandomForest,Anonymous,0.5458,0.5541,0.5458,0.5498,,,-0.0452,-0.0453,3
RandomForest,Original,0.7833,0.7748,0.7833,0.7739,,,0.4553,0.4636,3
DecisionTree,Anonymous,0.6375,0.6253,0.6375,0.6305,,,0.1205,0.121,5
DecisionTree,Original,0.7042,0.7256,0.7042,0.7114,,,0.3479,0.3522,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,5
RandomForest,Anonymous,0.5583,0.5712,0.5583,0.5642,,,-0.0054,-0.0054,5
RandomForest,Original,0.7958,0.7897,0.7958,0.7837,,,0.4762,0.4913,5
