epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,LogisticRegression,0.4887666666666666
40.0,CTGAN,LogisticRegression,0.5242666666666667
60.0,CTGAN,LogisticRegression,0.5913
60.0,TVAE,LogisticRegression,0.7198333333333333
80.0,CTGAN,LogisticRegression,0.489325
80.0,TVAE,LogisticRegression,0.694875
100.0,CTGAN,LogisticRegression,0.4172
100.0,TVAE,LogisticRegression,0.7151333333333333
120.0,CTGAN,LogisticRegression,0.52735
120.0,TVAE,LogisticRegression,0.729375
150.0,CTGAN,LogisticRegression,0.5496333333333333
150.0,TVAE,LogisticRegression,0.7401333333333334
200.0,CTGAN,LogisticRegression,0.5365666666666667
200.0,TVAE,LogisticRegression,0.7825666666666667
250.0,CTGAN,LogisticRegression,0.6824600000000001
250.0,TVAE,LogisticRegression,0.79936
300.0,CTGAN,LogisticRegression,0.7297727272727272
300.0,GaussianCopula,LogisticRegression,0.7183
300.0,TVAE,LogisticRegression,0.8071454545454546
400.0,CTGAN,LogisticRegression,0.7789
400.0,TVAE,LogisticRegression,0.8257666666666666
500.0,CTGAN,LogisticRegression,0.77624
500.0,TVAE,LogisticRegression,0.8095399999999999
750.0,CTGAN,LogisticRegression,0.7471
750.0,TVAE,LogisticRegression,0.81286
1000.0,CTGAN,LogisticRegression,0.771575
1000.0,TVAE,LogisticRegression,0.823325
