Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.7511,0.8093,0.7511,0.7768,,,0.0701,0.0734
DecisionTree,Original,0.7342,0.8306,0.7342,0.772,,,0.1456,0.162
KNN,Anonymous,0.8729,0.8334,0.8729,0.8448,,,0.142,0.1657
KNN,Original,0.8819,0.8612,0.8819,0.8676,,,0.2998,0.3136
LogisticRegression,Anonymous,0.8825,0.819,0.8825,0.8289,,,0.0061,0.0274
LogisticRegression,Original,0.8786,0.8512,0.8786,0.8589,,,0.238,0.2582
RandomForest,Anonymous,0.8799,0.825,0.8799,0.834,,,0.0454,0.0834
RandomForest,Original,0.8717,0.8428,0.8717,0.8526,,,0.2085,0.2234
SVM,Anonymous,0.883,0.7797,0.883,0.8281,,,0.0,0.0
SVM,Original,0.8829,0.8361,0.8829,0.8302,,,0.014,0.0539
