Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,Anonymous,0.4792,0.5126,0.4792,0.493,,,-0.1299,-0.1321,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6562,0.5309,0.6562,0.5609,,,-0.0353,-0.0569,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4375,0.4941,0.4375,0.4573,,,-0.1613,-0.1691,,,,,,
RandomForest,Original,0.8229,0.8191,0.8229,0.8157,,,0.5599,0.5693,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4479,0.5007,0.4479,0.4669,,,-0.1491,-0.1553,,,,,,
DecisionTree,Original,0.7292,0.7695,0.7292,0.7382,,,0.4317,0.4474,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6042,0.5732,0.6042,0.585,,,0.0065,0.0067,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.375,0.4511,0.375,0.3973,,,-0.2308,-0.253,,,,,,
RandomForest,Original,0.8229,0.8193,0.8229,0.8202,,,0.5763,0.5779,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4167,0.4669,0.4167,0.4361,,,-0.224,-0.2322,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6042,0.5732,0.6042,0.585,,,0.0065,0.0067,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4479,0.5007,0.4479,0.4669,,,-0.1491,-0.1553,,,,,,
RandomForest,Original,0.7812,0.773,0.7812,0.7723,,,0.4563,0.464,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4479,0.4936,0.4479,0.4656,,,-0.168,-0.1732,,,,,,
DecisionTree,Original,0.7292,0.7695,0.7292,0.7382,,,0.4317,0.4474,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
