Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,custom_generated_rows
DecisionTree,CTGAN,0.4917,0.5559,0.4917,0.5109,,,-0.0365,-0.0388,1000
DecisionTree,Original,0.6958,0.712,0.6958,0.7019,,,0.32,0.3224,1000
DecisionTree,TVAE,0.475,0.5424,0.475,0.495,,,-0.0636,-0.068,1000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,1000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,1000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,1000
RandomForest,CTGAN,0.5583,0.4997,0.5583,0.524,,,-0.1568,-0.1647,1000
RandomForest,Original,0.7917,0.7841,0.7917,0.7826,,,0.4763,0.485,1000
RandomForest,TVAE,0.6083,0.5768,0.6083,0.5889,,,0.0074,0.0076,1000
DecisionTree,CTGAN,0.5083,0.5987,0.5083,0.5259,,,0.0471,0.0528,2000
DecisionTree,Original,0.7083,0.7282,0.7083,0.7152,,,0.3548,0.3588,2000
DecisionTree,TVAE,0.5,0.5767,0.5,0.519,,,0.0063,0.0069,2000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,2000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,2000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,2000
RandomForest,CTGAN,0.6083,0.5694,0.6083,0.5836,,,-0.0089,-0.0093,2000
RandomForest,Original,0.8167,0.8161,0.8167,0.8038,,,0.5238,0.5459,2000
RandomForest,TVAE,0.6083,0.5933,0.6083,0.5999,,,0.046,0.0462,2000
DecisionTree,CTGAN,0.5333,0.5872,0.5333,0.5503,,,0.0295,0.0308,250
DecisionTree,Original,0.7,0.723,0.7,0.7077,,,0.3411,0.3458,250
DecisionTree,TVAE,0.5125,0.5843,0.5125,0.5311,,,0.0219,0.0236,250
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,250
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,250
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,250
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,250
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,250
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,250
RandomForest,CTGAN,0.5792,0.5327,0.5792,0.5511,,,-0.0886,-0.092,250
RandomForest,Original,0.7833,0.7748,0.7833,0.7739,,,0.4553,0.4636,250
RandomForest,TVAE,0.6167,0.5755,0.6167,0.5897,,,0.0043,0.0045,250
DecisionTree,CTGAN,0.5042,0.5892,0.5042,0.5224,,,0.03,0.0333,4000
DecisionTree,Original,0.7083,0.7228,0.7083,0.7138,,,0.3456,0.3478,4000
DecisionTree,TVAE,0.5125,0.5978,0.5125,0.5305,,,0.0463,0.0514,4000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,4000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,4000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,4000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,4000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,4000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,4000
RandomForest,CTGAN,0.4958,0.49,0.4958,0.4929,,,-0.1955,-0.1955,4000
RandomForest,Original,0.8042,0.7994,0.8042,0.7925,,,0.4976,0.5134,4000
RandomForest,TVAE,0.6375,0.5956,0.6375,0.6079,,,0.0466,0.0491,4000
DecisionTree,CTGAN,0.5167,0.5804,0.5167,0.535,,,0.0144,0.0154,500
DecisionTree,Original,0.7083,0.7228,0.7083,0.7138,,,0.3456,0.3478,500
DecisionTree,TVAE,0.5,0.5833,0.5,0.5186,,,0.0188,0.0208,500
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,500
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,500
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,500
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,500
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,500
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,500
RandomForest,CTGAN,0.575,0.5432,0.575,0.5565,,,-0.0684,-0.0697,500
RandomForest,Original,0.7958,0.7891,0.7958,0.785,,,0.4805,0.4928,500
RandomForest,TVAE,0.6042,0.5493,0.6042,0.5686,,,-0.0499,-0.0531,500
DecisionTree,CTGAN,0.5,0.564,0.5,0.5189,,,-0.0195,-0.0208,8000
DecisionTree,Original,0.7083,0.7254,0.7083,0.7145,,,0.3502,0.3532,8000
DecisionTree,TVAE,0.5,0.564,0.5,0.5189,,,-0.0195,-0.0208,8000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,8000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,8000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,8000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,8000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,8000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,8000
RandomForest,CTGAN,0.5667,0.5296,0.5667,0.5451,,,-0.0982,-0.1005,8000
RandomForest,Original,0.7958,0.7897,0.7958,0.7837,,,0.4762,0.4913,8000
RandomForest,TVAE,0.5958,0.6152,0.5958,0.6039,,,0.0964,0.0971,8000
