epochs,Dataset,Model,AUC-ROC
50.0,CTGAN,DecisionTree,0.57782
50.0,TVAE,DecisionTree,0.5965
100.0,CTGAN,DecisionTree,0.5841999999999999
100.0,TVAE,DecisionTree,0.5934
200.0,CTGAN,DecisionTree,0.55838
200.0,TVAE,DecisionTree,0.5799799999999999
300.0,CTGAN,DecisionTree,0.5705666666666667
300.0,GaussianCopula,DecisionTree,0.5274
300.0,TVAE,DecisionTree,0.6073000000000001
500.0,CTGAN,DecisionTree,0.58208
500.0,TVAE,DecisionTree,0.5866800000000001
750.0,CTGAN,DecisionTree,0.58392
750.0,TVAE,DecisionTree,0.5793999999999999
1000.0,CTGAN,DecisionTree,0.58102
1000.0,TVAE,DecisionTree,0.58256
