epochs,Dataset,Model,F1
20.0,CTGAN,KNN,0.5981799999999999
40.0,CTGAN,KNN,0.5934999999999999
60.0,CTGAN,KNN,0.5909
80.0,CTGAN,KNN,0.5936999999999999
100.0,CTGAN,KNN,0.5477000000000001
120.0,CTGAN,KNN,0.5971599999999999
150.0,CTGAN,KNN,0.5843
200.0,CTGAN,KNN,0.58642
200.0,TVAE,KNN,0.5692
250.0,CTGAN,KNN,0.57658
250.0,TVAE,KNN,0.5692
300.0,CTGAN,KNN,0.5810125
300.0,GaussianCopula,KNN,0.6383000000000001
300.0,TVAE,KNN,0.5692
400.0,CTGAN,KNN,0.58892
400.0,TVAE,KNN,0.5816600000000001
500.0,CTGAN,KNN,0.58026
500.0,TVAE,KNN,0.57186
1000.0,CTGAN,KNN,0.6159399999999999
1000.0,TVAE,KNN,0.58338
