epochs,Dataset,Model,AUC-ROC
50.0,CTGAN,LogisticRegression,0.7270399999999999
50.0,TVAE,LogisticRegression,0.8468399999999999
100.0,CTGAN,LogisticRegression,0.76326
100.0,TVAE,LogisticRegression,0.87582
200.0,CTGAN,LogisticRegression,0.8315400000000001
200.0,TVAE,LogisticRegression,0.8894
300.0,CTGAN,LogisticRegression,0.7816166666666667
300.0,GaussianCopula,LogisticRegression,0.8736
300.0,TVAE,LogisticRegression,0.8852399999999999
500.0,CTGAN,LogisticRegression,0.8210599999999999
500.0,TVAE,LogisticRegression,0.8844799999999999
750.0,CTGAN,LogisticRegression,0.85878
750.0,TVAE,LogisticRegression,0.87198
1000.0,CTGAN,LogisticRegression,0.86904
1000.0,TVAE,LogisticRegression,0.8762800000000001
