epochs,Dataset,Model,F1
20.0,CTGAN,RandomForest,0.57454
40.0,CTGAN,RandomForest,0.58364
60.0,CTGAN,RandomForest,0.61616
80.0,CTGAN,RandomForest,0.57714
100.0,CTGAN,RandomForest,0.592
120.0,CTGAN,RandomForest,0.56726
150.0,CTGAN,RandomForest,0.5907199999999999
200.0,CTGAN,RandomForest,0.5851200000000001
200.0,TVAE,RandomForest,0.5664800000000001
250.0,CTGAN,RandomForest,0.6096
250.0,TVAE,RandomForest,0.56784
300.0,CTGAN,RandomForest,0.59231875
300.0,GaussianCopula,RandomForest,0.7127375
300.0,TVAE,RandomForest,0.5840375
400.0,CTGAN,RandomForest,0.61602
400.0,TVAE,RandomForest,0.6396
500.0,CTGAN,RandomForest,0.5717000000000001
500.0,TVAE,RandomForest,0.59654
1000.0,CTGAN,RandomForest,0.6237600000000001
1000.0,TVAE,RandomForest,0.7846
