Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.4167,0.425,0.4167,0.4204,,,-0.0074,-0.0074,0.2,15.0,5.0,0.05,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5047,,,0.1175,0.1181,0.2,15.0,5.0,0.05,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,15.0,5.0,0.05,,
RandomForest,Anonymous,0.5653,0.4007,0.5653,0.4385,,,-0.0156,-0.0296,0.2,15.0,5.0,0.05,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,15.0,5.0,0.05,,
DecisionTree,Anonymous,0.4277,0.4219,0.4277,0.4246,,,-0.013,-0.013,0.2,2.0,5.0,0.05,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181,0.2,2.0,5.0,0.05,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.05,,
RandomForest,Anonymous,0.5632,0.4065,0.5632,0.4373,,,-0.0189,-0.0353,0.2,2.0,5.0,0.05,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.05,,
DecisionTree,Anonymous,0.4268,0.4205,0.4268,0.4234,,,-0.0153,-0.0153,0.2,5.0,5.0,0.05,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181,0.2,5.0,5.0,0.05,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,5.0,0.05,,
RandomForest,Anonymous,0.5691,0.4099,0.5691,0.439,,,-0.0121,-0.0246,0.2,5.0,5.0,0.05,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,5.0,0.05,,
