Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,37,1,9177,1,1,115.8,1,1,37,8,2,156.3,0,0,0,1,1,0,19,0,0,5,18,6,0.5674573856882207,0,0,0,9,5,13.771447490798629,0,16.2,3.4,2.03,Enrolled
1,41,1,9722,0,1,139.3,1,5,37,3,8,117.7,1,0,0,1,0,0,21,0,0,7,10,6,14.306455690807757,0,0,6,12,5,12.614587260666056,0,16.2,0.8,2.03,Graduate
1,14,3,9343,1,2,127.4,1,1,2,3,8,132.3,0,0,0,1,0,0,21,0,0,5,8,4,11.59331724714736,0,0,6,6,0,12.429472084695512,0,16.2,0.2,2.15,Graduate
4,16,1,9257,1,1,131.2,1,20,37,8,8,118.6,1,0,0,1,1,0,23,0,0,6,0,6,16.85513734127621,0,0,8,8,6,13.904976246589966,0,9.8,-0.8,0.59,Dropout
1,36,1,9288,1,1,119.3,1,36,36,8,10,105.4,0,0,0,1,0,1,18,0,0,5,9,5,9.252939221577943,0,0,5,10,0,10.155568825111244,0,12.5,-0.8,2.31,Enrolled
1,1,4,9991,0,1,126.5,1,1,36,10,6,121.5,1,0,0,1,1,0,52,0,0,6,8,6,14.262921997655441,0,0,10,18,0,11.391978128660089,0,16.0,0.3,-2.75,Graduate
2,15,1,9383,1,1,126.1,1,18,36,9,12,121.6,1,0,0,1,0,0,41,0,0,6,13,6,10.931247625340788,0,0,5,9,5,0.0,1,12.5,1.3,0.67,Graduate
3,16,2,9560,1,1,95.9,1,2,37,7,7,119.6,1,0,0,1,1,1,18,0,0,6,11,14,10.126947137276703,0,2,6,16,0,9.810711905457039,3,8.7,2.6,1.6,Graduate
1,36,1,9360,0,1,131.3,1,38,17,3,4,126.2,1,0,0,0,0,1,21,0,0,7,5,13,0.0,0,0,6,8,5,9.347311787188225,0,12.7,1.3,2.06,Dropout
1,1,1,8452,0,1,115.5,1,1,37,2,3,115.6,0,0,1,0,0,0,18,0,0,5,13,6,14.112353811167514,0,0,6,12,6,11.329420273112367,6,15.5,0.2,-1.37,Graduate
1,37,4,9222,1,1,105.3,1,35,18,7,7,154.1,0,0,0,1,1,0,38,1,0,18,9,5,8.545045484085836,0,0,6,8,5,9.294289186270376,0,11.3,1.3,-3.61,Graduate
1,37,1,9422,1,1,127.1,1,1,37,9,4,119.3,0,0,0,1,1,0,56,0,0,6,3,6,13.442689321177642,0,0,6,8,6,11.523156042281222,2,14.0,0.1,2.28,Graduate
1,1,2,9234,1,1,116.7,1,1,36,9,6,100.2,0,0,0,1,1,0,29,0,0,12,10,6,14.904938717566855,0,0,6,9,5,13.915830741485934,0,11.1,3.7,0.77,Graduate
1,41,1,9991,1,1,142.8,1,1,19,6,8,114.0,0,0,0,1,0,1,57,0,0,6,6,15,11.495501116055136,0,0,5,7,0,0.0,0,13.8,2.4,1.5,Enrolled
1,38,1,9423,1,1,101.9,1,19,36,5,8,117.8,1,0,0,1,0,0,17,0,0,5,11,4,12.329408609033434,0,0,5,8,6,11.74083557514296,0,12.9,-0.8,-2.84,Graduate
1,37,1,9384,1,1,133.8,1,2,36,7,6,152.6,1,0,1,1,0,0,20,0,0,6,9,4,10.706747541978064,0,0,8,9,7,11.661727641157283,0,7.8,0.1,-3.88,Graduate
1,1,5,9991,1,1,125.8,1,2,2,10,7,108.0,1,0,0,1,0,0,19,0,0,5,6,4,10.80801297181058,0,0,5,12,6,11.156364175363999,0,9.6,0.1,-3.84,Graduate
1,1,1,8577,0,1,132.0,1,18,38,3,4,120.7,1,0,0,1,1,1,18,0,0,15,8,4,10.636455636206115,0,0,0,8,4,12.306667825419526,0,16.2,2.6,2.2,Enrolled
1,15,1,9405,1,1,142.6,1,37,35,8,10,131.7,0,0,0,1,0,0,18,0,0,7,9,4,16.32672226788887,0,0,5,8,4,9.688408215658015,0,12.8,-0.8,-1.14,Dropout
