age,job_0,job_1,job_2,job_3,marital_0,marital_1,education_0,education_1,education_2,default_0,default_1,balance,housing_0,housing_1,loan_0,loan_1,contact_0,contact_1,day,month_0,month_1,month_2,month_3,duration,campaign,pdays,previous,poutcome_0,poutcome_1,poutcome_2,y
49,0,0,0,0,0,1,0,1,0,0,1,380,1,0,0,1,0,0,17,0,0,0,1,207,2,0,0,0,0,1,yes
54,0,0,1,1,0,1,0,0,0,0,1,-308,0,1,1,1,0,1,24,0,0,0,1,36,2,72,0,0,0,1,no
31,1,1,0,0,0,1,0,0,0,0,1,1613,0,1,0,1,1,0,8,1,0,0,0,81,1,125,1,0,0,1,no
22,0,1,0,0,0,1,0,0,1,0,1,1588,0,1,1,1,1,0,22,0,0,0,1,483,2,195,1,0,0,1,yes
55,0,0,1,0,0,1,0,0,1,0,1,-1438,1,0,0,0,1,0,22,1,1,1,0,269,1,0,0,0,0,1,no
29,0,1,0,0,0,0,0,1,0,0,1,936,0,1,0,1,0,1,3,0,0,1,0,1309,1,0,0,0,0,1,no
35,0,0,1,0,1,1,0,1,0,0,1,-591,0,1,0,1,1,0,6,0,1,0,1,165,1,248,1,0,1,1,no
21,1,1,0,1,1,0,0,0,1,0,1,817,0,1,0,1,1,0,4,0,1,1,0,427,1,9,0,0,0,1,no
41,0,0,0,1,0,1,0,1,1,0,1,-2207,0,1,0,1,0,0,14,0,1,0,0,132,2,115,0,1,0,1,no
45,0,1,0,0,0,1,0,1,0,0,1,1146,0,0,0,1,1,1,15,0,0,0,0,76,1,0,0,0,0,1,no
44,1,0,0,0,0,1,0,1,0,0,1,-2308,1,0,1,0,1,1,24,0,1,1,0,117,1,451,1,0,1,1,no
44,0,0,0,0,0,1,0,0,0,0,1,-1078,0,1,1,1,1,0,24,0,0,0,0,95,1,213,1,0,0,0,no
34,0,1,1,0,0,1,0,1,0,0,1,814,1,0,0,1,1,1,9,0,1,0,1,314,1,18,0,0,0,1,no
28,0,1,1,1,1,1,0,1,0,1,1,-1527,0,1,1,1,1,0,25,1,1,1,0,231,4,14,0,1,0,0,no
41,0,1,0,1,0,1,0,1,0,1,1,4079,0,1,0,0,0,0,20,0,0,1,1,59,7,-1,0,0,0,1,no
