Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1,9096,1,1,131.8,1,2,37,5,6,125.6,1,0,0,1,0,0,18,0,0,6,6,6,13.186083245133283,0,0,6,6,6,13.10258965652049,0,16.0,0.4,0.29,Graduate
1,1,1,9191,1,1,131.0,1,1,38,6,4,128.6,1,0,0,1,0,0,18,0,0,6,7,6,14.377828474348718,0,0,6,6,6,13.669158257347496,0,12.5,0.4,1.84,Graduate
1,1,1,9745,1,1,132.4,1,2,1,0,1,127.2,1,0,0,1,0,0,18,0,0,7,8,6,12.195524343926458,0,0,6,8,5,14.894935618664608,0,12.5,2.6,1.85,Graduate
1,1,1,9083,1,1,133.5,1,2,2,5,4,118.7,1,0,0,1,0,0,19,0,0,6,6,5,14.229205441658536,0,0,6,6,5,12.175068428807537,0,10.9,0.4,1.91,Graduate
1,1,1,9054,1,1,133.9,1,2,1,5,6,149.6,1,0,0,1,0,0,18,0,0,6,7,6,12.35362417402481,0,0,6,8,6,14.106006187973755,0,10.8,1.4,1.8,Graduate
1,1,1,9213,1,1,138.5,1,1,2,5,3,148.6,1,0,0,1,0,0,19,0,0,6,6,6,13.877915740922667,0,0,6,6,6,12.962097290622824,0,12.6,0.4,1.79,Graduate
1,1,1,9380,1,1,135.6,1,1,1,2,6,130.4,1,0,0,1,0,0,18,0,0,7,7,6,12.217634414510737,0,0,6,5,6,13.818579070325981,0,11.0,0.6,1.97,Graduate
1,17,1,9111,1,1,134.0,1,37,37,2,5,115.6,0,0,0,1,1,0,20,0,0,5,10,2,11.223476189446624,0,0,5,5,3,11.988295818641962,0,7.6,2.7,0.29,Dropout
1,1,1,9121,1,1,133.1,1,2,2,5,1,132.1,1,0,0,1,0,0,18,0,0,6,6,6,12.952504209909304,0,0,6,6,5,13.31332235905293,0,12.5,1.4,1.86,Graduate
1,43,1,9069,1,1,131.0,1,38,37,9,2,141.4,0,0,0,1,0,0,34,0,6,10,15,10,14.541195079285082,0,4,11,12,0,11.892935939474201,0,9.3,2.7,1.82,Dropout
1,43,1,9134,1,1,132.0,1,2,2,6,5,154.8,0,0,0,1,0,0,21,0,0,6,7,6,12.205111595474738,0,0,6,8,6,12.668907710351196,0,10.7,1.4,1.86,Graduate
1,45,1,9178,1,1,132.6,1,37,38,4,5,127.4,0,0,0,1,1,0,21,0,0,6,15,2,12.51697409958725,0,0,6,15,5,12.581613798571782,0,15.8,2.7,1.79,Dropout
1,1,1,9282,1,1,135.6,1,2,37,3,6,133.1,1,0,0,1,0,0,19,0,0,7,8,7,12.470362556083463,0,0,8,8,7,12.810610760173205,0,12.7,2.6,1.79,Graduate
