Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5417,0.5584,0.5417,0.5492,,,-0.0403,-0.0405,0.2,15.0,2.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,2.0,0.05,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,2.0,0.05,,
RandomForest,Anonymous,0.5972,0.592,0.5972,0.5945,,,0.0387,0.0387,0.2,15.0,2.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,2.0,0.05,,
DecisionTree,Anonymous,0.5486,0.5678,0.5486,0.5571,,,-0.0183,-0.0184,0.2,15.0,3.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,3.0,0.05,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,3.0,0.05,,
RandomForest,Anonymous,0.5903,0.5877,0.5903,0.5889,,,0.0284,0.0284,0.2,15.0,3.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,3.0,0.05,,
DecisionTree,Anonymous,0.5486,0.5678,0.5486,0.5571,,,-0.0183,-0.0184,0.2,15.0,4.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,4.0,0.05,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,4.0,0.05,,
RandomForest,Anonymous,0.6181,0.6156,0.6181,0.6168,,,0.0942,0.0942,0.2,15.0,4.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,4.0,0.05,,
DecisionTree,Anonymous,0.5486,0.5678,0.5486,0.5571,,,-0.0183,-0.0184,0.2,15.0,5.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,5.0,0.05,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,5.0,0.05,,
RandomForest,Anonymous,0.5764,0.5895,0.5764,0.5823,,,0.0326,0.0327,0.2,15.0,5.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,5.0,0.05,,
