Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.6136,0.6428,0.6136,0.6247,,,0.391,0.3937,0.2,15.0,2.0,0.01,,
KNN,Anonymous,0.6712,0.6569,0.6712,0.6629,,,0.4552,0.4564,0.2,15.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7412,0.7246,0.7412,0.7301,,,0.5704,0.5726,0.2,15.0,2.0,0.01,,
RandomForest,Anonymous,0.7322,0.7104,0.7322,0.7118,,,0.5526,0.5592,0.2,15.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,15.0,2.0,0.01,,
DecisionTree,Anonymous,0.5898,0.6255,0.5898,0.6027,,,0.3581,0.3617,0.2,15.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6547,0.6689,0.6607,,,0.4516,0.4527,0.2,15.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7424,0.7375,0.7424,0.7391,,,0.5763,0.5772,0.2,15.0,2.0,0.05,,
RandomForest,Anonymous,0.7537,0.7322,0.7537,0.7341,,,0.5848,0.5911,0.2,15.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,15.0,2.0,0.05,,
DecisionTree,Anonymous,0.5842,0.6321,0.5842,0.5994,,,0.3575,0.3637,0.2,15.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6547,0.6689,0.6607,,,0.4516,0.4527,0.2,15.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7424,0.7375,0.7424,0.7391,,,0.5763,0.5772,0.2,15.0,2.0,0.1,,
RandomForest,Anonymous,0.7492,0.7257,0.7492,0.7231,,,0.5737,0.5832,0.2,15.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,15.0,2.0,0.1,,
