epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,DecisionTree,0.5121333333333333
40.0,CTGAN,DecisionTree,0.5014333333333333
60.0,CTGAN,DecisionTree,0.5037333333333334
60.0,TVAE,DecisionTree,0.6544333333333333
80.0,CTGAN,DecisionTree,0.49767500000000003
80.0,TVAE,DecisionTree,0.62645
100.0,CTGAN,DecisionTree,0.4828666666666666
100.0,TVAE,DecisionTree,0.6705666666666668
120.0,CTGAN,DecisionTree,0.502875
120.0,TVAE,DecisionTree,0.65595
150.0,CTGAN,DecisionTree,0.4995
150.0,TVAE,DecisionTree,0.6509666666666667
200.0,CTGAN,DecisionTree,0.5018333333333334
200.0,TVAE,DecisionTree,0.6632
250.0,CTGAN,DecisionTree,0.52952
250.0,TVAE,DecisionTree,0.6684
300.0,CTGAN,DecisionTree,0.5921363636363636
300.0,GaussianCopula,DecisionTree,0.5241363636363636
300.0,TVAE,DecisionTree,0.6846181818181818
400.0,CTGAN,DecisionTree,0.6211666666666668
400.0,TVAE,DecisionTree,0.6830666666666666
500.0,CTGAN,DecisionTree,0.61832
500.0,TVAE,DecisionTree,0.67904
750.0,CTGAN,DecisionTree,0.6182000000000001
750.0,TVAE,DecisionTree,0.67316
1000.0,CTGAN,DecisionTree,0.615675
1000.0,TVAE,DecisionTree,0.692275
