Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,N/A,N/A,0.0421,0.0478
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,N/A,N/A,-0.0255,-0.0402
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,N/A,N/A,0.0409,0.0477
KNN,Original,0.6625,0.6241,0.6625,0.6322,N/A,N/A,0.1048,0.1116
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,N/A,N/A,0.0,0.0
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,N/A,N/A,0.0249,0.0293
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,N/A,N/A,0.0,0.0
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,N/A,N/A,0.1178,0.1988
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,N/A,N/A,0.343,0.343
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,N/A,N/A,-0.0284,-0.0285
RandomForest,Anonymous,0.5583,0.5583,0.5583,0.5583,N/A,N/A,-0.0355,-0.0355
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,N/A,N/A,0.0,0.0
RandomForest,GaussianCopula,0.7042,0.6745,0.7042,0.6332,N/A,N/A,0.1182,0.1673
RandomForest,Original,0.8042,0.7986,0.8042,0.7938,N/A,N/A,0.5017,0.5146
RandomForest,TVAE,0.5042,0.5892,0.5042,0.5224,N/A,N/A,0.03,0.0333
