epochs,Dataset,Model,F1
50.0,CTGAN,DecisionTree,0.7931
50.0,TVAE,DecisionTree,0.85106
100.0,CTGAN,DecisionTree,0.76452
100.0,TVAE,DecisionTree,0.85092
200.0,CTGAN,DecisionTree,0.8290599999999999
200.0,TVAE,DecisionTree,0.85114
300.0,CTGAN,DecisionTree,0.8201499999999999
300.0,GaussianCopula,DecisionTree,0.80564
300.0,TVAE,DecisionTree,0.8231400000000001
500.0,CTGAN,DecisionTree,0.78278
500.0,TVAE,DecisionTree,0.8185399999999999
750.0,CTGAN,DecisionTree,0.8250400000000001
750.0,TVAE,DecisionTree,0.83124
1000.0,CTGAN,DecisionTree,0.81558
1000.0,TVAE,DecisionTree,0.83572
