epochs,Dataset,Model,F1
20.0,CTGAN,LogisticRegression,0.36572
20.0,TVAE,LogisticRegression,0.42152
40.0,CTGAN,LogisticRegression,0.34198
40.0,TVAE,LogisticRegression,0.49152000000000007
60.0,CTGAN,LogisticRegression,0.39294
60.0,TVAE,LogisticRegression,0.5887
80.0,CTGAN,LogisticRegression,0.36572
80.0,TVAE,LogisticRegression,0.55294
100.0,CTGAN,LogisticRegression,0.34093999999999997
100.0,TVAE,LogisticRegression,0.58754
120.0,CTGAN,LogisticRegression,0.1781
120.0,TVAE,LogisticRegression,0.6018399999999999
150.0,CTGAN,LogisticRegression,0.4768800000000001
150.0,TVAE,LogisticRegression,0.6014
200.0,CTGAN,LogisticRegression,0.3326
200.0,TVAE,LogisticRegression,0.64424
250.0,CTGAN,LogisticRegression,0.38494
250.0,TVAE,LogisticRegression,0.63484
300.0,CTGAN,LogisticRegression,0.58
300.0,GaussianCopula,LogisticRegression,0.51510625
300.0,TVAE,LogisticRegression,0.64701875
400.0,CTGAN,LogisticRegression,0.61288
400.0,TVAE,LogisticRegression,0.65218
500.0,CTGAN,LogisticRegression,0.6063
500.0,TVAE,LogisticRegression,0.66488
750.0,CTGAN,LogisticRegression,0.62906
750.0,TVAE,LogisticRegression,0.6965999999999999
1000.0,CTGAN,LogisticRegression,0.61494
1000.0,TVAE,LogisticRegression,0.67032
