Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs,k_anonymity
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,2
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,2
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,2
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,2
RandomForest,Anonymous,0.5375,0.5492,0.5375,0.543,,,-0.0566,-0.0568,1,2
RandomForest,CTGAN,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1,2
RandomForest,GaussianCopula,0.7042,0.6803,0.7042,0.6234,,,0.1011,0.1591,1,2
RandomForest,Original,0.7833,0.7749,0.7833,0.7712,,,0.4464,0.4592,1,2
RandomForest,TVAE,0.5083,0.5477,0.5083,0.5235,,,-0.0577,-0.059,1,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,3
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,3
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,3
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,3
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,3
RandomForest,Anonymous,0.5583,0.5648,0.5583,0.5615,,,-0.0202,-0.0202,1,3
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
RandomForest,GaussianCopula,0.7042,0.6803,0.7042,0.6234,,,0.1011,0.1591,1,3
RandomForest,Original,0.8208,0.8176,0.8208,0.8113,,,0.5441,0.5581,1,3
RandomForest,TVAE,0.5583,0.5743,0.5583,0.5655,,,0.0019,0.0019,1,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,5
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,5
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,5
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,5
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,5
RandomForest,Anonymous,0.5292,0.5475,0.5292,0.5374,,,-0.0602,-0.0605,1,5
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
RandomForest,GaussianCopula,0.7083,0.691,0.7083,0.6312,,,0.118,0.1803,1,5
RandomForest,Original,0.7875,0.78,0.7875,0.7748,,,0.4548,0.4692,1,5
RandomForest,TVAE,0.5125,0.5655,0.5125,0.53,,,-0.0172,-0.018,1,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,2
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,2
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,2
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,2
RandomForest,Anonymous,0.5625,0.5641,0.5625,0.5633,,,-0.0219,-0.0219,2,2
RandomForest,CTGAN,0.6958,0.6545,0.6958,0.6074,,,0.0667,0.1125,2,2
RandomForest,GaussianCopula,0.6792,0.6,0.6792,0.5916,,,0.0251,0.0395,2,2
RandomForest,Original,0.8,0.7941,0.8,0.7888,,,0.489,0.503,2,2
RandomForest,TVAE,0.5375,0.5392,0.5375,0.5384,,,-0.0803,-0.0803,2,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,3
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,3
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,3
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,3
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,3
RandomForest,Anonymous,0.5625,0.5641,0.5625,0.5633,,,-0.0219,-0.0219,2,3
RandomForest,CTGAN,0.6833,0.6045,0.6833,0.5883,,,0.0236,0.0414,2,3
RandomForest,GaussianCopula,0.7042,0.6803,0.7042,0.6234,,,0.1011,0.1591,2,3
RandomForest,Original,0.7958,0.7891,0.7958,0.785,,,0.4805,0.4928,2,3
RandomForest,TVAE,0.5292,0.5443,0.5292,0.5361,,,-0.0679,-0.0681,2,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,5
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,5
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,5
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,5
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,5
RandomForest,Anonymous,0.5542,0.5623,0.5542,0.558,,,-0.0261,-0.0261,2,5
RandomForest,CTGAN,0.6667,0.5655,0.6667,0.5785,,,-0.008,-0.0122,2,5
RandomForest,GaussianCopula,0.7,0.6659,0.7,0.6207,,,0.0928,0.1418,2,5
RandomForest,Original,0.7833,0.7751,0.7833,0.7752,,,0.4596,0.4661,2,5
RandomForest,TVAE,0.5375,0.5459,0.5375,0.5415,,,-0.0644,-0.0645,2,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,2
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,2
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,2
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,2
