Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.421,0.4272,0.421,0.424,0.5608,20.8331,0.115,0.1151
DecisionTree,Original,0.4457,0.4525,0.4457,0.4488,0.5851,19.9761,0.1546,0.1547
KNN,Anonymous,0.4791,0.4234,0.4791,0.4311,0.5813,6.6192,0.0941,0.1016
KNN,Original,0.4781,0.422,0.4781,0.4311,0.587,6.5115,0.0958,0.103
LogisticRegression,Anonymous,0.5451,0.3601,0.5451,0.4208,0.7278,1.0326,0.1438,0.216
LogisticRegression,Original,0.5694,0.3768,0.5694,0.4522,0.7521,0.9618,0.2318,0.2893
RandomForest,Anonymous,0.5123,0.4434,0.5123,0.4543,0.6849,1.3171,0.1561,0.1712
RandomForest,Original,0.5325,0.4762,0.5325,0.4862,0.7308,1.2152,0.2163,0.2285
SVM,Anonymous,0.5302,0.3703,0.5302,0.3887,N/A,N/A,0.0735,0.1708
SVM,Original,0.5302,0.3703,0.5302,0.3887,N/A,N/A,0.0735,0.1708
