Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs
DecisionTree,CTGAN,0.5292,0.5785,0.5292,0.5457,,,0.0109,0.0114,1
DecisionTree,Original,0.7208,0.7311,0.7208,0.7249,,,0.3668,0.3682,1
DecisionTree,TVAE,0.6833,0.5816,0.6833,0.5757,,,0.0039,0.0087,1
KNN,CTGAN,0.7042,0.6855,0.7042,0.6181,,,0.0923,0.1557,1
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1
LogisticRegression,TVAE,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
RandomForest,Original,0.8208,0.8188,0.8208,0.8102,,,0.5404,0.5575,1
RandomForest,TVAE,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1
DecisionTree,CTGAN,0.45,0.5293,0.45,0.4707,,,-0.0861,-0.0945,2
DecisionTree,Original,0.7125,0.7205,0.7125,0.7159,,,0.3432,0.3439,2
DecisionTree,TVAE,0.6125,0.56,0.6125,0.5777,,,-0.0278,-0.0296,2
KNN,CTGAN,0.5792,0.5744,0.5792,0.5767,,,0.0021,0.0021,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2
LogisticRegression,CTGAN,0.65,0.6526,0.65,0.6513,,,0.1855,0.1856,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
LogisticRegression,TVAE,0.6333,0.5886,0.6333,0.6019,,,0.0315,0.0334,2
RandomForest,CTGAN,0.5875,0.5332,0.5875,0.5538,,,-0.0849,-0.0896,2
RandomForest,Original,0.8042,0.7994,0.8042,0.7925,,,0.4976,0.5134,2
RandomForest,TVAE,0.6042,0.5583,0.6042,0.5749,,,-0.0324,-0.0339,2
