epochs,Dataset,Model,Recall
20.0,CTGAN,RandomForest,0.6874800000000001
40.0,CTGAN,RandomForest,0.6875
60.0,CTGAN,RandomForest,0.6597
80.0,CTGAN,RandomForest,0.6625
100.0,CTGAN,RandomForest,0.6208400000000001
120.0,CTGAN,RandomForest,0.6722400000000001
150.0,CTGAN,RandomForest,0.6666399999999999
200.0,CTGAN,RandomForest,0.57638
200.0,TVAE,RandomForest,0.68886
250.0,CTGAN,RandomForest,0.67778
250.0,TVAE,RandomForest,0.69164
300.0,CTGAN,RandomForest,0.6458375
300.0,GaussianCopula,RandomForest,0.7257
300.0,TVAE,RandomForest,0.68923125
400.0,CTGAN,RandomForest,0.66668
400.0,TVAE,RandomForest,0.69446
500.0,CTGAN,RandomForest,0.69442
500.0,TVAE,RandomForest,0.65696
1000.0,CTGAN,RandomForest,0.66668
1000.0,TVAE,RandomForest,0.7889
