Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5764,0.5681,0.5764,0.572,0.4914,15.2685,-0.0176,-0.0176
DecisionTree,Original,0.7222,0.7477,0.7222,0.73,0.7109,10.0121,0.3919,0.3986
KNN,CTGAN,0.6944,0.6451,0.6944,0.6204,0.5166,2.9905,0.0812,0.1153
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,CTGAN,0.6944,0.4823,0.6944,0.5692,0.4536,0.6561,0.0,0.0
LogisticRegression,Original,0.8403,0.8431,0.8403,0.8294,0.788,0.4495,0.5839,0.6067
RandomForest,CTGAN,0.6736,0.5407,0.6736,0.5704,0.4894,0.6479,-0.023,-0.0435
RandomForest,Original,0.8125,0.8067,0.8125,0.8059,0.8034,0.4636,0.5313,0.5379
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
