Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5115,0.5194,0.5115,0.5152,,,0.1563,0.1564,0.2,10.0,2.0,0.5,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.5,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.5,,,
RandomForest,Anonymous,0.6082,0.5622,0.6082,0.564,,,0.2103,0.2264,0.2,10.0,2.0,0.5,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.5,,,
DecisionTree,Anonymous,0.516,0.5231,0.516,0.5194,,,0.1629,0.163,0.2,20.0,2.0,0.5,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.5,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.5,,,
RandomForest,Anonymous,0.6068,0.5609,0.6068,0.5647,,,0.2118,0.2266,0.2,20.0,2.0,0.5,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.5,,,
DecisionTree,Anonymous,0.5161,0.523,0.5161,0.5194,,,0.1627,0.1628,0.2,5.0,2.0,0.5,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.5,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.5,,,
RandomForest,Anonymous,0.6088,0.5628,0.6088,0.5649,,,0.2118,0.228,0.2,5.0,2.0,0.5,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.5,,,
