epochs,Dataset,Model,Accuracy
20.0,CTGAN,DecisionTree,0.60556
40.0,CTGAN,DecisionTree,0.57638
60.0,CTGAN,DecisionTree,0.61112
80.0,CTGAN,DecisionTree,0.6111
100.0,CTGAN,DecisionTree,0.53334
120.0,CTGAN,DecisionTree,0.60138
150.0,CTGAN,DecisionTree,0.55138
200.0,CTGAN,DecisionTree,0.5125
200.0,TVAE,DecisionTree,0.62778
250.0,CTGAN,DecisionTree,0.5625
250.0,TVAE,DecisionTree,0.675
300.0,CTGAN,DecisionTree,0.56770625
300.0,GaussianCopula,DecisionTree,0.70399375
300.0,TVAE,DecisionTree,0.637575
400.0,CTGAN,DecisionTree,0.6263799999999999
400.0,TVAE,DecisionTree,0.65832
500.0,CTGAN,DecisionTree,0.5986
500.0,TVAE,DecisionTree,0.65832
1000.0,CTGAN,DecisionTree,0.58056
1000.0,TVAE,DecisionTree,0.7541599999999999
