epochs,Dataset,Model,Accuracy
20.0,CTGAN,RandomForest,0.45106666666666667
40.0,CTGAN,RandomForest,0.44930000000000003
40.0,TVAE,RandomForest,0.6887666666666666
60.0,CTGAN,RandomForest,0.504
60.0,TVAE,RandomForest,0.6631666666666667
80.0,CTGAN,RandomForest,0.4652
80.0,TVAE,RandomForest,0.654
100.0,CTGAN,RandomForest,0.311
100.0,TVAE,RandomForest,0.6518333333333334
120.0,CTGAN,RandomForest,0.48455
120.0,TVAE,RandomForest,0.6613249999999999
150.0,CTGAN,RandomForest,0.4164333333333334
150.0,TVAE,RandomForest,0.6488333333333333
200.0,CTGAN,RandomForest,0.3203
200.0,TVAE,RandomForest,0.6935333333333333
250.0,CTGAN,RandomForest,0.5839
250.0,TVAE,RandomForest,0.6850799999999999
300.0,CTGAN,RandomForest,0.6555909090909091
300.0,GaussianCopula,RandomForest,0.5644181818181818
300.0,TVAE,RandomForest,0.7075454545454545
400.0,CTGAN,RandomForest,0.6727
400.0,TVAE,RandomForest,0.7020666666666666
500.0,CTGAN,RandomForest,0.68282
500.0,TVAE,RandomForest,0.70544
750.0,CTGAN,RandomForest,0.63346
750.0,TVAE,RandomForest,0.70888
1000.0,CTGAN,RandomForest,0.6715
1000.0,TVAE,RandomForest,0.7278
