epochs,Dataset,Model,F1
20.0,CTGAN,SVM,0.5692
40.0,CTGAN,SVM,0.56852
60.0,CTGAN,SVM,0.56852
80.0,CTGAN,SVM,0.5692
100.0,CTGAN,SVM,0.5746600000000001
120.0,CTGAN,SVM,0.5692
150.0,CTGAN,SVM,0.56716
200.0,CTGAN,SVM,0.57478
200.0,TVAE,SVM,0.5692
250.0,CTGAN,SVM,0.57674
250.0,TVAE,SVM,0.5692
300.0,CTGAN,SVM,0.56934375
300.0,GaussianCopula,SVM,0.5692
300.0,TVAE,SVM,0.5692
400.0,CTGAN,SVM,0.56852
400.0,TVAE,SVM,0.5692
500.0,CTGAN,SVM,0.5692
500.0,TVAE,SVM,0.5692
1000.0,CTGAN,SVM,0.5775
1000.0,TVAE,SVM,0.5692
