Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,custom_generated_rows
DecisionTree,CTGAN,0.5125,0.5811,0.5125,0.5311,,,0.0156,0.0167,1000
DecisionTree,Original,0.7167,0.7283,0.7167,0.7212,,,0.3597,0.3613,1000
DecisionTree,TVAE,0.4917,0.5715,0.4917,0.5108,,,-0.0038,-0.0042,1000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,1000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,1000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,1000
RandomForest,CTGAN,0.5125,0.5069,0.5125,0.5096,,,-0.1559,-0.156,1000
RandomForest,Original,0.8042,0.7994,0.8042,0.7925,,,0.4976,0.5134,1000
RandomForest,TVAE,0.6375,0.5845,0.6375,0.5986,,,0.0219,0.0238,1000
DecisionTree,CTGAN,0.4833,0.5662,0.4833,0.5025,,,-0.0139,-0.0154,2000
DecisionTree,Original,0.7125,0.723,0.7125,0.7167,,,0.3479,0.3492,2000
DecisionTree,TVAE,0.5042,0.5825,0.5042,0.5229,,,0.0177,0.0194,2000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,2000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,2000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,2000
RandomForest,CTGAN,0.55,0.5321,0.55,0.5403,,,-0.0961,-0.0966,2000
RandomForest,Original,0.8083,0.8024,0.8083,0.8011,,,0.522,0.5294,2000
RandomForest,TVAE,0.6083,0.5902,0.6083,0.5979,,,0.0385,0.0388,2000
DecisionTree,CTGAN,0.5167,0.5649,0.5167,0.5334,,,-0.0187,-0.0194,250
DecisionTree,Original,0.6958,0.7175,0.6958,0.7033,,,0.3296,0.3336,250
DecisionTree,TVAE,0.5,0.5833,0.5,0.5186,,,0.0188,0.0208,250
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,250
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,250
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,250
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,250
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,250
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,250
RandomForest,CTGAN,0.5417,0.5272,0.5417,0.534,,,-0.1078,-0.1081,250
RandomForest,Original,0.775,0.766,0.775,0.7665,,,0.4389,0.4451,250
RandomForest,TVAE,0.5833,0.5833,0.5833,0.5833,,,0.0231,0.0231,250
DecisionTree,CTGAN,0.5167,0.571,0.5167,0.5342,,,-0.0052,-0.0054,4000
DecisionTree,Original,0.7208,0.7336,0.7208,0.7257,,,0.3714,0.3734,4000
DecisionTree,TVAE,0.4958,0.5741,0.4958,0.5149,,,0.0012,0.0014,4000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,4000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,4000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,4000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,4000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,4000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,4000
RandomForest,CTGAN,0.5833,0.5485,0.5833,0.5626,,,-0.056,-0.0573,4000
RandomForest,Original,0.7958,0.7891,0.7958,0.785,,,0.4805,0.4928,4000
RandomForest,TVAE,0.5917,0.6007,0.5917,0.5959,,,0.0637,0.0638,4000
DecisionTree,CTGAN,0.525,0.5854,0.525,0.5428,,,0.0251,0.0265,500
DecisionTree,Original,0.7125,0.723,0.7125,0.7167,,,0.3479,0.3492,500
DecisionTree,TVAE,0.4958,0.5709,0.4958,0.515,,,-0.0051,-0.0056,500
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,500
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,500
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,500
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,500
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,500
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,500
RandomForest,CTGAN,0.5583,0.5445,0.5583,0.5509,,,-0.0675,-0.0677,500
RandomForest,Original,0.8208,0.8188,0.8208,0.8102,,,0.5404,0.5575,500
RandomForest,TVAE,0.6458,0.6206,0.6458,0.6293,,,0.106,0.1082,500
DecisionTree,CTGAN,0.55,0.6034,0.55,0.5664,,,0.0641,0.0671,8000
DecisionTree,Original,0.7042,0.72,0.7042,0.7101,,,0.3386,0.3411,8000
DecisionTree,TVAE,0.5,0.5833,0.5,0.5186,,,0.0188,0.0208,8000
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,8000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,8000
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,8000
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995,8000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,8000
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02,8000
RandomForest,CTGAN,0.5958,0.5682,0.5958,0.5795,,,-0.012,-0.0122,8000
RandomForest,Original,0.8042,0.7981,0.8042,0.795,,,0.5057,0.5161,8000
RandomForest,TVAE,0.5875,0.6011,0.5875,0.5936,,,0.0644,0.0647,8000
