Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.7596,0.8115,0.7596,0.7827,,,0.0813,0.0845
DecisionTree,Original,0.7452,0.832,0.7452,0.7797,,,0.1554,0.1705
KNN,Anonymous,0.8729,0.8334,0.8729,0.8448,,,0.142,0.1657
KNN,Original,0.8819,0.8612,0.8819,0.8676,,,0.2998,0.3136
LogisticRegression,Anonymous,0.8825,0.819,0.8825,0.8289,,,0.0061,0.0274
LogisticRegression,Original,0.8786,0.8512,0.8786,0.8589,,,0.238,0.2582
RandomForest,Anonymous,0.8796,0.8289,0.8796,0.8366,,,0.0648,0.1055
RandomForest,Original,0.8693,0.842,0.8693,0.8518,,,0.2108,0.2227
SVM,Anonymous,0.883,0.7797,0.883,0.8281,,,0.0,0.0
SVM,Original,0.8829,0.8361,0.8829,0.8302,,,0.014,0.0539
