Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,N/A,N/A,0.1105,0.1119
DecisionTree,CTGAN,0.3659,0.5337,0.3659,0.3328,N/A,N/A,-0.0338,-0.0558
DecisionTree,CTGAN_HYBRID,0.561,0.561,0.561,0.561,N/A,N/A,-0.0282,-0.0282
DecisionTree,GaussianCopula,0.5122,0.4971,0.5122,0.5043,N/A,N/A,-0.1767,-0.1772
DecisionTree,GaussianCopula_HYBRID,0.626,0.5597,0.626,0.5789,N/A,N/A,-0.025,-0.0279
DecisionTree,Original,0.6911,0.7056,0.6911,0.6967,N/A,N/A,0.3067,0.3086
DecisionTree,TVAE,0.7805,0.7821,0.7805,0.7549,N/A,N/A,0.4034,0.4445
DecisionTree,TVAE_HYBRID,0.6585,0.5824,0.6585,0.5924,N/A,N/A,0.0137,0.0174
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,N/A,N/A,0.036,0.0392
KNN,CTGAN,0.5691,0.5843,0.5691,0.5759,N/A,N/A,0.0263,0.0264
KNN,CTGAN_HYBRID,0.626,0.5354,0.626,0.5628,N/A,N/A,-0.0611,-0.0734
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,N/A,N/A,0.1539,0.181
KNN,GaussianCopula_HYBRID,0.626,0.5773,0.626,0.5922,N/A,N/A,0.0088,0.0093
KNN,Original,0.6504,0.6226,0.6504,0.6314,N/A,N/A,0.11,0.113
KNN,TVAE,0.6829,0.4758,0.6829,0.5609,N/A,N/A,-0.0161,-0.0605
KNN,TVAE_HYBRID,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
LogisticRegression,CTGAN,0.6667,0.5936,0.6667,0.5977,N/A,N/A,0.0285,0.0371
LogisticRegression,CTGAN_HYBRID,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
LogisticRegression,GaussianCopula,0.6911,0.6342,0.6911,0.579,N/A,N/A,0.0197,0.0532
LogisticRegression,GaussianCopula_HYBRID,0.6829,0.6038,0.6829,0.587,N/A,N/A,0.0228,0.0406
LogisticRegression,Original,0.8618,0.876,0.8618,0.8504,N/A,N/A,0.6367,0.6721
LogisticRegression,TVAE,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
LogisticRegression,TVAE_HYBRID,0.5772,0.5344,0.5772,0.5515,N/A,N/A,-0.0848,-0.0876
RandomForest,Anonymous,0.5854,0.548,0.5854,0.5629,N/A,N/A,-0.0555,-0.057
RandomForest,CTGAN,0.5854,0.5073,0.5854,0.5371,N/A,N/A,-0.1268,-0.1397
RandomForest,CTGAN_HYBRID,0.6016,0.5019,0.6016,0.5389,N/A,N/A,-0.1205,-0.1416
RandomForest,GaussianCopula,0.6992,0.7904,0.6992,0.5834,N/A,N/A,0.036,0.1354
RandomForest,GaussianCopula_HYBRID,0.6667,0.6162,0.6667,0.6214,N/A,N/A,0.0786,0.0891
RandomForest,Original,0.8455,0.8463,0.8455,0.8372,N/A,N/A,0.6068,0.6231
RandomForest,TVAE,0.7073,0.7195,0.7073,0.6132,N/A,N/A,0.0893,0.175
RandomForest,TVAE_HYBRID,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,CTGAN,0.6341,0.5912,0.6341,0.604,N/A,N/A,0.0382,0.0404
SVM,CTGAN_HYBRID,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,GaussianCopula_HYBRID,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,Original,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
SVM,TVAE_HYBRID,0.6911,0.4776,0.6911,0.5648,N/A,N/A,0.0,0.0
