epochs,Dataset,Model,Precision
20.0,CTGAN,LogisticRegression,0.575
40.0,CTGAN,LogisticRegression,0.48230000000000006
60.0,CTGAN,LogisticRegression,0.56182
80.0,CTGAN,LogisticRegression,0.5290600000000001
100.0,CTGAN,LogisticRegression,0.60164
120.0,CTGAN,LogisticRegression,0.49734
150.0,CTGAN,LogisticRegression,0.64788
200.0,CTGAN,LogisticRegression,0.62836
200.0,TVAE,LogisticRegression,0.64286
250.0,CTGAN,LogisticRegression,0.58214
250.0,TVAE,LogisticRegression,0.6058600000000001
300.0,CTGAN,LogisticRegression,0.62530625
300.0,GaussianCopula,LogisticRegression,0.7669874999999999
300.0,TVAE,LogisticRegression,0.56319375
400.0,CTGAN,LogisticRegression,0.69248
400.0,TVAE,LogisticRegression,0.7094
500.0,CTGAN,LogisticRegression,0.6065400000000001
500.0,TVAE,LogisticRegression,0.72488
1000.0,CTGAN,LogisticRegression,0.60394
1000.0,TVAE,LogisticRegression,0.8194800000000001
