Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5556,0.5771,0.5556,0.5648,,,0.0035,0.0035,0.2,15.0,3.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,3.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,15.0,3.0,0.01,,
RandomForest,Anonymous,0.5972,0.6275,0.5972,0.6085,,,0.1182,0.1203,0.2,15.0,3.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,3.0,0.01,,
DecisionTree,Anonymous,0.5486,0.5678,0.5486,0.5571,,,-0.0183,-0.0184,0.2,15.0,3.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,3.0,0.05,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,3.0,0.05,,
RandomForest,Anonymous,0.5903,0.5877,0.5903,0.5889,,,0.0284,0.0284,0.2,15.0,3.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,3.0,0.05,,
DecisionTree,Anonymous,0.5486,0.557,0.5486,0.5526,,,-0.0437,-0.0438,0.2,15.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,3.0,0.1,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,15.0,3.0,0.1,,
RandomForest,Anonymous,0.6111,0.5959,0.6111,0.6025,,,0.0473,0.0475,0.2,15.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,3.0,0.1,,
