Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.4375,0.4941,0.4375,0.4573,,,-0.1613,-0.1691,0.2,3.0,3.0,0.01,,
KNN,Anonymous,0.6667,0.6266,0.6667,0.6319,,,0.1111,0.1206,0.2,3.0,3.0,0.01,,
LogisticRegression,Anonymous,0.5625,0.5544,0.5625,0.5582,,,-0.037,-0.0371,0.2,3.0,3.0,0.01,,
RandomForest,Anonymous,0.5208,0.5374,0.5208,0.5283,,,-0.076,-0.0764,0.2,3.0,3.0,0.01,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,0.2,3.0,3.0,0.01,,
DecisionTree,Anonymous,0.5208,0.5828,0.5208,0.5393,,,0.0151,0.016,0.2,3.0,3.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,3.0,0.05,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,3.0,0.05,,
RandomForest,Anonymous,0.625,0.6202,0.625,0.6225,,,0.105,0.105,0.2,3.0,3.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,3.0,0.05,,
DecisionTree,Anonymous,0.5208,0.5828,0.5208,0.5393,,,0.0151,0.016,0.2,3.0,3.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,3.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,3.0,0.1,,
RandomForest,Anonymous,0.6181,0.6253,0.6181,0.6214,,,0.1169,0.117,0.2,3.0,3.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,3.0,0.1,,
