epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,RandomForest,0.5354599999999999
40.0,CTGAN,RandomForest,0.47664
40.0,TVAE,RandomForest,0.7335200000000001
60.0,CTGAN,RandomForest,0.51798
60.0,TVAE,RandomForest,0.79138
80.0,CTGAN,RandomForest,0.49901999999999996
80.0,TVAE,RandomForest,0.80038
100.0,CTGAN,RandomForest,0.48674
100.0,TVAE,RandomForest,0.81106
120.0,CTGAN,RandomForest,0.49358
120.0,TVAE,RandomForest,0.81166
150.0,CTGAN,RandomForest,0.53234
150.0,TVAE,RandomForest,0.81348
200.0,CTGAN,RandomForest,0.51686
200.0,TVAE,RandomForest,0.8301999999999999
250.0,CTGAN,RandomForest,0.60504
250.0,TVAE,RandomForest,0.82528
300.0,CTGAN,RandomForest,0.72374375
300.0,GaussianCopula,RandomForest,0.6897875
300.0,TVAE,RandomForest,0.83761875
400.0,CTGAN,RandomForest,0.7412
400.0,TVAE,RandomForest,0.83862
500.0,CTGAN,RandomForest,0.75114
500.0,TVAE,RandomForest,0.84046
750.0,CTGAN,RandomForest,0.76692
750.0,TVAE,RandomForest,0.8438399999999999
1000.0,CTGAN,RandomForest,0.75712
1000.0,TVAE,RandomForest,0.85032
