epochs,Dataset,Model,Precision
20.0,CTGAN,RandomForest,0.37676
20.0,TVAE,RandomForest,0.36014
40.0,CTGAN,RandomForest,0.35910000000000003
40.0,TVAE,RandomForest,0.5438
60.0,CTGAN,RandomForest,0.3936
60.0,TVAE,RandomForest,0.66056
80.0,CTGAN,RandomForest,0.40099999999999997
80.0,TVAE,RandomForest,0.56886
100.0,CTGAN,RandomForest,0.37432
100.0,TVAE,RandomForest,0.6486
120.0,CTGAN,RandomForest,0.41036
120.0,TVAE,RandomForest,0.6434599999999999
150.0,CTGAN,RandomForest,0.40576
150.0,TVAE,RandomForest,0.65836
200.0,CTGAN,RandomForest,0.40896
200.0,TVAE,RandomForest,0.66062
250.0,CTGAN,RandomForest,0.46563999999999994
250.0,TVAE,RandomForest,0.66814
300.0,CTGAN,RandomForest,0.57175
300.0,GaussianCopula,RandomForest,0.54704375
300.0,TVAE,RandomForest,0.67855
400.0,CTGAN,RandomForest,0.56372
400.0,TVAE,RandomForest,0.66262
500.0,CTGAN,RandomForest,0.62098
500.0,TVAE,RandomForest,0.69452
750.0,CTGAN,RandomForest,0.62778
750.0,TVAE,RandomForest,0.708
1000.0,CTGAN,RandomForest,0.6205
1000.0,TVAE,RandomForest,0.7063
