epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,LogisticRegression,0.58284
40.0,CTGAN,LogisticRegression,0.4574
60.0,CTGAN,LogisticRegression,0.49960000000000004
80.0,CTGAN,LogisticRegression,0.5546800000000001
100.0,CTGAN,LogisticRegression,0.41952
120.0,CTGAN,LogisticRegression,0.54952
150.0,CTGAN,LogisticRegression,0.48419999999999996
200.0,CTGAN,LogisticRegression,0.39632
200.0,TVAE,LogisticRegression,0.51284
250.0,CTGAN,LogisticRegression,0.49744
250.0,TVAE,LogisticRegression,0.51082
300.0,CTGAN,LogisticRegression,0.51178125
300.0,GaussianCopula,LogisticRegression,0.73155
300.0,TVAE,LogisticRegression,0.57545625
400.0,CTGAN,LogisticRegression,0.48823999999999995
400.0,TVAE,LogisticRegression,0.5426
500.0,CTGAN,LogisticRegression,0.5159
500.0,TVAE,LogisticRegression,0.7759199999999999
1000.0,CTGAN,LogisticRegression,0.5650999999999999
1000.0,TVAE,LogisticRegression,0.78598
