Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.6407,0.6607,0.6407,0.6485,,,0.4296,0.4313,0.2,5.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,5.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7446,0.7303,0.7446,0.7357,,,0.5765,0.5781,0.2,5.0,2.0,0.01,,
RandomForest,Anonymous,0.7435,0.7192,0.7435,0.7247,,,0.5687,0.5739,0.2,5.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,5.0,2.0,0.01,,
DecisionTree,Anonymous,0.5876,0.629,0.5876,0.6018,,,0.358,0.3627,0.2,5.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,5.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.2,5.0,2.0,0.05,,
RandomForest,Anonymous,0.7616,0.7392,0.7616,0.7379,,,0.596,0.6046,0.2,5.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,5.0,2.0,0.05,,
DecisionTree,Anonymous,0.5842,0.6296,0.5842,0.6011,,,0.3524,0.3567,0.2,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.2,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7412,0.7136,0.7412,0.7167,,,0.5622,0.57,0.2,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.574,0.6137,0.574,0.5885,,,0.3356,0.3395,0.05,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.05,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.05,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7684,0.7484,0.7684,0.7498,,,0.6092,0.6156,0.05,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.05,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.5751,0.619,0.5751,0.5904,,,0.3384,0.343,0.1,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.1,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.1,5.0,2.0,0.1,,
RandomForest,Anonymous,0.748,0.7274,0.748,0.7298,,,0.5762,0.5819,0.1,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.1,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.5627,0.6087,0.5627,0.5796,,,0.3206,0.325,0.15,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.15,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.15,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7458,0.7209,0.7458,0.7245,,,0.571,0.5775,0.15,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.15,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.5593,0.6081,0.5593,0.5758,,,0.318,0.3233,0.2,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.2,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7503,0.729,0.7503,0.7304,,,0.5781,0.5848,0.2,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.5797,0.6221,0.5797,0.5953,,,0.3451,0.3492,0.25,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.25,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.25,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7458,0.7255,0.7458,0.7288,,,0.5734,0.5784,0.25,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.25,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.5977,0.6362,0.5977,0.6115,,,0.3718,0.3759,0.3,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.3,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.3,5.0,2.0,0.1,,
