Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.626,0.6533,0.626,0.6371,,,0.4091,0.4113,0.2,20.0,2.0,0.01,,
KNN,Anonymous,0.6712,0.6569,0.6712,0.6629,,,0.4552,0.4564,0.2,20.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7412,0.7246,0.7412,0.7301,,,0.5704,0.5726,0.2,20.0,2.0,0.01,,
RandomForest,Anonymous,0.7446,0.7231,0.7446,0.7272,,,0.5723,0.5771,0.2,20.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,20.0,2.0,0.01,,
DecisionTree,Anonymous,0.5898,0.6272,0.5898,0.6028,,,0.3589,0.363,0.2,20.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6547,0.6689,0.6607,,,0.4516,0.4527,0.2,20.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7424,0.7375,0.7424,0.7391,,,0.5763,0.5772,0.2,20.0,2.0,0.05,,
RandomForest,Anonymous,0.7492,0.7241,0.7492,0.7265,,,0.5755,0.583,0.2,20.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,20.0,2.0,0.05,,
DecisionTree,Anonymous,0.6056,0.6353,0.6056,0.6164,,,0.3797,0.3828,0.2,20.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6547,0.6689,0.6607,,,0.4516,0.4527,0.2,20.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7424,0.7375,0.7424,0.7391,,,0.5763,0.5772,0.2,20.0,2.0,0.1,,
RandomForest,Anonymous,0.7469,0.7211,0.7469,0.7268,,,0.5734,0.5792,0.2,20.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,20.0,2.0,0.1,,
