Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.6328,0.6516,0.6328,0.6405,,,0.4162,0.4177,0.2,3.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,3.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7379,0.7253,0.7379,0.7303,,,0.5667,0.5678,0.2,3.0,2.0,0.01,,
RandomForest,Anonymous,0.7379,0.7091,0.7379,0.7146,,,0.5579,0.5646,0.2,3.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,3.0,2.0,0.01,,
DecisionTree,Anonymous,0.6056,0.6444,0.6056,0.6202,,,0.384,0.3879,0.2,3.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,3.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7446,0.742,0.7446,0.7422,,,0.5804,0.5815,0.2,3.0,2.0,0.05,,
RandomForest,Anonymous,0.7638,0.7444,0.7638,0.7471,,,0.6022,0.6078,0.2,3.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,3.0,2.0,0.05,,
DecisionTree,Anonymous,0.5819,0.614,0.5819,0.5952,,,0.3416,0.3438,0.2,3.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,3.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7446,0.742,0.7446,0.7422,,,0.5804,0.5815,0.2,3.0,2.0,0.1,,
RandomForest,Anonymous,0.7469,0.7232,0.7469,0.725,,,0.5734,0.5804,0.2,3.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,3.0,2.0,0.1,,
