epochs,Dataset,Model,Precision
50.0,CTGAN,RandomForest,0.84474
50.0,TVAE,RandomForest,0.8674199999999999
100.0,CTGAN,RandomForest,0.86474
100.0,TVAE,RandomForest,0.87888
200.0,CTGAN,RandomForest,0.8772399999999999
200.0,TVAE,RandomForest,0.8914
300.0,CTGAN,RandomForest,0.8772333333333333
300.0,GaussianCopula,RandomForest,0.86564
300.0,TVAE,RandomForest,0.8893599999999999
500.0,CTGAN,RandomForest,0.87278
500.0,TVAE,RandomForest,0.8773
750.0,CTGAN,RandomForest,0.8763799999999999
750.0,TVAE,RandomForest,0.87174
1000.0,CTGAN,RandomForest,0.8773799999999999
1000.0,TVAE,RandomForest,0.8769600000000001
