epochs,Dataset,Model,Precision
20.0,CTGAN,SVM,0.48230000000000006
40.0,CTGAN,SVM,0.48200000000000004
60.0,CTGAN,SVM,0.48200000000000004
80.0,CTGAN,SVM,0.48230000000000006
100.0,CTGAN,SVM,0.5241
120.0,CTGAN,SVM,0.48230000000000006
150.0,CTGAN,SVM,0.4814
200.0,CTGAN,SVM,0.5444599999999999
200.0,TVAE,SVM,0.48230000000000006
250.0,CTGAN,SVM,0.52042
250.0,TVAE,SVM,0.48230000000000006
300.0,CTGAN,SVM,0.50123125
300.0,GaussianCopula,SVM,0.4823
300.0,TVAE,SVM,0.4823
400.0,CTGAN,SVM,0.48200000000000004
400.0,TVAE,SVM,0.48230000000000006
500.0,CTGAN,SVM,0.48230000000000006
500.0,TVAE,SVM,0.48230000000000006
1000.0,CTGAN,SVM,0.50796
1000.0,TVAE,SVM,0.48230000000000006
