epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,DecisionTree,0.49682000000000004
40.0,CTGAN,DecisionTree,0.5131
60.0,CTGAN,DecisionTree,0.5311
80.0,CTGAN,DecisionTree,0.50044
100.0,CTGAN,DecisionTree,0.515
120.0,CTGAN,DecisionTree,0.5264599999999999
150.0,CTGAN,DecisionTree,0.5092800000000001
200.0,CTGAN,DecisionTree,0.53456
200.0,TVAE,DecisionTree,0.5012800000000001
250.0,CTGAN,DecisionTree,0.5001
250.0,TVAE,DecisionTree,0.5111800000000001
300.0,CTGAN,DecisionTree,0.50881875
300.0,GaussianCopula,DecisionTree,0.56815
300.0,TVAE,DecisionTree,0.4924
400.0,CTGAN,DecisionTree,0.52116
400.0,TVAE,DecisionTree,0.56118
500.0,CTGAN,DecisionTree,0.5287200000000001
500.0,TVAE,DecisionTree,0.53982
1000.0,CTGAN,DecisionTree,0.5257400000000001
1000.0,TVAE,DecisionTree,0.65072
