Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5625,0.5812,0.5625,0.5707,,,0.0131,0.0131,0.2,10.0,2.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,10.0,2.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,10.0,2.0,0.01,,
RandomForest,Anonymous,0.5833,0.6194,0.5833,0.5962,,,0.0985,0.1008,0.2,10.0,2.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,10.0,2.0,0.01,,
DecisionTree,Anonymous,0.5625,0.5707,0.5625,0.5664,,,-0.0116,-0.0116,0.2,15.0,2.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,2.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,15.0,2.0,0.01,,
RandomForest,Anonymous,0.6042,0.6266,0.6042,0.6132,,,0.1178,0.119,0.2,15.0,2.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,2.0,0.01,,
DecisionTree,Anonymous,0.5625,0.576,0.5625,0.5687,,,0.0009,0.0009,0.2,20.0,2.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,20.0,2.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,20.0,2.0,0.01,,
RandomForest,Anonymous,0.5972,0.6275,0.5972,0.6085,,,0.1182,0.1203,0.2,20.0,2.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,20.0,2.0,0.01,,
DecisionTree,Anonymous,0.5278,0.5869,0.5278,0.5458,,,0.0239,0.0252,0.2,2.0,2.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,2.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,2.0,0.01,,
RandomForest,Anonymous,0.5972,0.6073,0.5972,0.6019,,,0.0745,0.0746,0.2,2.0,2.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,2.0,0.01,,
DecisionTree,Anonymous,0.5347,0.5804,0.5347,0.5508,,,0.0107,0.011,0.2,3.0,2.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,2.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,2.0,0.01,,
RandomForest,Anonymous,0.5903,0.6031,0.5903,0.596,,,0.0643,0.0645,0.2,3.0,2.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,2.0,0.01,,
DecisionTree,Anonymous,0.4479,0.5078,0.4479,0.4677,,,-0.1307,-0.1379,0.2,5.0,2.0,0.01,,
KNN,Anonymous,0.6667,0.6266,0.6667,0.6319,,,0.1111,0.1206,0.2,5.0,2.0,0.01,,
LogisticRegression,Anonymous,0.5625,0.5544,0.5625,0.5582,,,-0.037,-0.0371,0.2,5.0,2.0,0.01,,
RandomForest,Anonymous,0.5208,0.5451,0.5208,0.5312,,,-0.0575,-0.058,0.2,5.0,2.0,0.01,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,0.2,5.0,2.0,0.01,,
