Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5556,0.5771,0.5556,0.5648,,,0.0035,0.0035,0.2,10.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,10.0,5.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,10.0,5.0,0.01,,
RandomForest,Anonymous,0.5972,0.6224,0.5972,0.6072,,,0.1077,0.109,0.2,10.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,10.0,5.0,0.01,,
DecisionTree,Anonymous,0.5625,0.576,0.5625,0.5687,,,0.0009,0.0009,0.2,15.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,15.0,5.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,15.0,5.0,0.01,,
RandomForest,Anonymous,0.6042,0.6216,0.6042,0.6116,,,0.107,0.1077,0.2,15.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,15.0,5.0,0.01,,
DecisionTree,Anonymous,0.5625,0.576,0.5625,0.5687,,,0.0009,0.0009,0.2,20.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,20.0,5.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,20.0,5.0,0.01,,
RandomForest,Anonymous,0.5764,0.6101,0.5764,0.5889,,,0.0781,0.0796,0.2,20.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,20.0,5.0,0.01,,
DecisionTree,Anonymous,0.5208,0.5723,0.5208,0.5382,,,-0.0073,-0.0076,0.2,2.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,5.0,0.01,,
RandomForest,Anonymous,0.6042,0.6067,0.6042,0.6054,,,0.0732,0.0732,0.2,2.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,5.0,0.01,,
DecisionTree,Anonymous,0.5347,0.5752,0.5347,0.5497,,,-0.0008,-0.0009,0.2,3.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,3.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,3.0,5.0,0.01,,
RandomForest,Anonymous,0.5903,0.6081,0.5903,0.5979,,,0.0757,0.0762,0.2,3.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,3.0,5.0,0.01,,
DecisionTree,Anonymous,0.5208,0.5828,0.5208,0.5393,,,0.0151,0.016,0.2,5.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,5.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,5.0,5.0,0.01,,
RandomForest,Anonymous,0.6181,0.6156,0.6181,0.6168,,,0.0942,0.0942,0.2,5.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,5.0,5.0,0.01,,
