Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5144,0.5232,0.5144,0.5185,N/A,N/A,0.1627,0.1628
DecisionTree,CTGAN_HYBRID,0.3074,0.4415,0.3074,0.3412,N/A,N/A,0.0141,0.0154
DecisionTree,GaussianCopula_HYBRID,0.3607,0.4533,0.3607,0.3857,N/A,N/A,0.0307,0.0328
DecisionTree,Original,0.5393,0.5455,0.5393,0.5423,N/A,N/A,0.202,0.202
DecisionTree,TVAE_HYBRID,0.4142,0.4397,0.4142,0.4247,0.514,21.1137,0.0186,0.0187
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,N/A,N/A,0.1183,0.119
KNN,CTGAN_HYBRID,0.2361,0.0558,0.2361,0.0902,N/A,N/A,0.0,0.0
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,Original,0.5173,0.497,0.5173,0.505,N/A,N/A,0.1183,0.1189
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,1.3534,0.0,0.0
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,N/A,N/A,0.0946,0.1465
LogisticRegression,CTGAN_HYBRID,0.4763,0.5293,0.4763,0.4943,N/A,N/A,0.1567,0.1606
LogisticRegression,GaussianCopula_HYBRID,0.5865,0.3462,0.5865,0.4354,N/A,N/A,-0.0023,-0.0187
LogisticRegression,Original,0.6063,0.5225,0.6063,0.5173,N/A,N/A,0.1355,0.1746
LogisticRegression,TVAE_HYBRID,0.5843,0.4856,0.5843,0.5222,0.6569,1.1866,0.1636,0.1775
RandomForest,Anonymous,0.61,0.565,0.61,0.5664,N/A,N/A,0.2144,0.2307
RandomForest,CTGAN_HYBRID,0.5235,0.4976,0.5235,0.5046,N/A,N/A,0.1335,0.1356
RandomForest,GaussianCopula_HYBRID,0.5562,0.4575,0.5562,0.4765,N/A,N/A,0.0439,0.0535
RandomForest,Original,0.651,0.6284,0.651,0.6048,N/A,N/A,0.2908,0.3162
RandomForest,TVAE_HYBRID,0.5554,0.4994,0.5554,0.5017,0.5986,1.2943,0.109,0.1172
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
