epochs,Dataset,Model,Accuracy
20.0,CTGAN,SVM,0.6944
40.0,CTGAN,SVM,0.6944
60.0,CTGAN,SVM,0.69164
80.0,CTGAN,SVM,0.6958
100.0,CTGAN,SVM,0.69302
120.0,CTGAN,SVM,0.69302
150.0,CTGAN,SVM,0.69026
200.0,CTGAN,SVM,0.6888799999999999
200.0,TVAE,SVM,0.6944
250.0,CTGAN,SVM,0.69164
250.0,TVAE,SVM,0.6944
300.0,CTGAN,SVM,0.6900875
300.0,GaussianCopula,SVM,0.69965
300.0,TVAE,SVM,0.6944
400.0,CTGAN,SVM,0.67498
400.0,TVAE,SVM,0.6944
500.0,CTGAN,SVM,0.6944
500.0,TVAE,SVM,0.6944
1000.0,CTGAN,SVM,0.6944
1000.0,TVAE,SVM,0.6944
