epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,KNN,0.4998
40.0,CTGAN,KNN,0.47115999999999997
40.0,TVAE,KNN,0.5846
60.0,CTGAN,KNN,0.51562
60.0,TVAE,KNN,0.60156
80.0,CTGAN,KNN,0.50126
80.0,TVAE,KNN,0.62776
100.0,CTGAN,KNN,0.5017799999999999
100.0,TVAE,KNN,0.64324
120.0,CTGAN,KNN,0.49122000000000005
120.0,TVAE,KNN,0.6518200000000001
150.0,CTGAN,KNN,0.51056
150.0,TVAE,KNN,0.64534
200.0,CTGAN,KNN,0.50326
200.0,TVAE,KNN,0.64826
250.0,CTGAN,KNN,0.50396
250.0,TVAE,KNN,0.65232
300.0,CTGAN,KNN,0.5724125
300.0,GaussianCopula,KNN,0.51183125
300.0,TVAE,KNN,0.64576875
400.0,CTGAN,KNN,0.59626
400.0,TVAE,KNN,0.6587799999999999
500.0,CTGAN,KNN,0.5852
500.0,TVAE,KNN,0.6472
750.0,CTGAN,KNN,0.58594
750.0,TVAE,KNN,0.66548
1000.0,CTGAN,KNN,0.61158
1000.0,TVAE,KNN,0.67164
