epochs,Dataset,Model,Recall
20.0,CTGAN,LogisticRegression,0.45330000000000004
40.0,CTGAN,LogisticRegression,0.4804333333333333
40.0,TVAE,LogisticRegression,0.6051666666666667
60.0,CTGAN,LogisticRegression,0.5012333333333333
60.0,TVAE,LogisticRegression,0.6104333333333334
80.0,CTGAN,LogisticRegression,0.45142499999999997
80.0,TVAE,LogisticRegression,0.5883
100.0,CTGAN,LogisticRegression,0.2926666666666667
100.0,TVAE,LogisticRegression,0.6039333333333333
120.0,CTGAN,LogisticRegression,0.49585
120.0,TVAE,LogisticRegression,0.6199
150.0,CTGAN,LogisticRegression,0.4046
150.0,TVAE,LogisticRegression,0.622
200.0,CTGAN,LogisticRegression,0.31976666666666664
200.0,TVAE,LogisticRegression,0.6624
250.0,CTGAN,LogisticRegression,0.61008
250.0,TVAE,LogisticRegression,0.6622
300.0,CTGAN,LogisticRegression,0.6630090909090909
300.0,GaussianCopula,LogisticRegression,0.5714818181818182
300.0,TVAE,LogisticRegression,0.6902909090909091
400.0,CTGAN,LogisticRegression,0.6742
400.0,TVAE,LogisticRegression,0.6844666666666667
500.0,CTGAN,LogisticRegression,0.70888
500.0,TVAE,LogisticRegression,0.67078
750.0,CTGAN,LogisticRegression,0.6146
750.0,TVAE,LogisticRegression,0.68962
1000.0,CTGAN,LogisticRegression,0.661725
1000.0,TVAE,LogisticRegression,0.7016249999999999
