Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5278,0.5712,0.5278,0.5436,,,-0.0099,-0.0102,0.2,2.0,4.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,4.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,4.0,0.01,,
RandomForest,Anonymous,0.6042,0.6166,0.6042,0.6097,,,0.096,0.0963,0.2,2.0,4.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,4.0,0.01,,
DecisionTree,Anonymous,0.5347,0.5752,0.5347,0.5497,,,-0.0008,-0.0009,0.2,2.0,4.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,4.0,0.05,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,4.0,0.05,,
RandomForest,Anonymous,0.6111,0.616,0.6111,0.6135,,,0.0952,0.0952,0.2,2.0,4.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,4.0,0.05,,
DecisionTree,Anonymous,0.5139,0.5734,0.5139,0.5325,,,-0.0048,-0.005,0.2,2.0,4.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,2.0,4.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,2.0,4.0,0.1,,
RandomForest,Anonymous,0.6042,0.6166,0.6042,0.6097,,,0.096,0.0963,0.2,2.0,4.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,2.0,4.0,0.1,,
