Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5208,0.5828,0.5208,0.5393,,,0.0151,0.016,0.2,5.0,5.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,5.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,5.0,5.0,0.01,,
RandomForest,Anonymous,0.6181,0.6156,0.6181,0.6168,,,0.0942,0.0942,0.2,5.0,5.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,5.0,5.0,0.01,,
DecisionTree,Anonymous,0.5139,0.5734,0.5139,0.5325,,,-0.0048,-0.005,0.2,5.0,5.0,0.05,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,5.0,5.0,0.05,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,5.0,5.0,0.05,,
RandomForest,Anonymous,0.5833,0.5989,0.5833,0.5902,,,0.0543,0.0545,0.2,5.0,5.0,0.05,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,5.0,5.0,0.05,,
DecisionTree,Anonymous,0.5208,0.5828,0.5208,0.5393,,,0.0151,0.016,0.2,5.0,5.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,5.0,5.0,0.1,,
LogisticRegression,Anonymous,0.5972,0.5493,0.5972,0.5674,,,-0.0567,-0.0593,0.2,5.0,5.0,0.1,,
RandomForest,Anonymous,0.5833,0.5989,0.5833,0.5902,,,0.0543,0.0545,0.2,5.0,5.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,5.0,5.0,0.1,,
