Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5333,0.5584,0.5333,0.5405,,,0.2683,0.2714
DecisionTree,GaussianCopula,0.3695,0.3662,0.3695,0.3668,,,-0.0223,-0.0223
DecisionTree,Original,0.6859,0.6909,0.6859,0.6882,,,0.493,0.4932
DecisionTree,TVAE,0.5842,0.6179,0.5842,0.593,,,0.3503,0.3557
KNN,CTGAN,0.4147,0.4271,0.4147,0.4133,,,0.0722,0.0739
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076
LogisticRegression,CTGAN,0.6294,0.5655,0.6294,0.5923,,,0.3684,0.3755
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,,,0.5716,0.5815
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682
RandomForest,CTGAN,0.635,0.6061,0.635,0.619,,,0.3921,0.3939
RandomForest,GaussianCopula,0.5299,0.4713,0.5299,0.4793,,,0.1677,0.1815
RandomForest,Original,0.7763,0.7645,0.7763,0.7616,,,0.6198,0.6286
RandomForest,TVAE,0.6915,0.6811,0.6915,0.6798,,,0.4933,0.4983
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407
