Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5127,0.5192,0.5127,0.5158,N/A,N/A,0.1562,0.1563
DecisionTree,CTGAN,0.3739,0.4478,0.3739,0.3975,N/A,N/A,0.026,0.0271
DecisionTree,CTGAN_HYBRID,0.2528,0.4397,0.2528,0.3094,N/A,N/A,0.0203,0.0231
DecisionTree,GaussianCopula,0.3905,0.4258,0.3905,0.4048,N/A,N/A,-0.007,-0.0071
DecisionTree,GaussianCopula_HYBRID,0.3857,0.4293,0.3857,0.4018,N/A,N/A,-0.0003,-0.0003
DecisionTree,Original,0.542,0.5478,0.542,0.5448,N/A,N/A,0.206,0.2061
DecisionTree,TVAE,0.4208,0.4583,0.4208,0.4352,0.5145,20.8762,0.0466,0.0473
DecisionTree,TVAE_HYBRID,0.358,0.4163,0.358,0.3777,0.4987,23.1412,-0.0164,-0.017
KNN,Anonymous,0.5175,0.497,0.5175,0.505,N/A,N/A,0.1181,0.1188
KNN,CTGAN,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,GaussianCopula,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
KNN,Original,0.5173,0.497,0.5173,0.505,N/A,N/A,0.1183,0.1189
KNN,TVAE,0.5888,0.3467,0.5888,0.4364,0.5,14.8203,0.0,0.0
KNN,TVAE_HYBRID,0.1637,0.0268,0.1637,0.046,0.5,9.5437,0.0,0.0
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,N/A,N/A,0.0762,0.1342
LogisticRegression,CTGAN,0.5753,0.4954,0.5753,0.5152,N/A,N/A,0.141,0.1532
LogisticRegression,CTGAN_HYBRID,0.1868,0.4849,0.1868,0.2618,N/A,N/A,0.0331,0.0528
LogisticRegression,GaussianCopula,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
LogisticRegression,GaussianCopula_HYBRID,0.5862,0.3461,0.5862,0.4352,N/A,N/A,-0.0027,-0.0201
LogisticRegression,Original,0.6063,0.5225,0.6063,0.5173,N/A,N/A,0.1355,0.1746
LogisticRegression,TVAE,0.513,0.4932,0.513,0.4985,0.6241,1.1542,0.1069,0.1083
LogisticRegression,TVAE_HYBRID,0.5854,0.3462,0.5854,0.435,0.6576,1.1167,-0.0029,-0.018
RandomForest,Anonymous,0.6079,0.5622,0.6079,0.5625,N/A,N/A,0.2069,0.2238
RandomForest,CTGAN,0.5591,0.4933,0.5591,0.5074,N/A,N/A,0.117,0.1253
RandomForest,CTGAN_HYBRID,0.3817,0.481,0.3817,0.4201,N/A,N/A,0.0573,0.0603
RandomForest,GaussianCopula,0.5878,0.4698,0.5878,0.4434,N/A,N/A,0.0079,0.0283
RandomForest,GaussianCopula_HYBRID,0.5616,0.442,0.5616,0.4626,N/A,N/A,0.0201,0.028
RandomForest,Original,0.6496,0.6257,0.6496,0.6026,N/A,N/A,0.2867,0.3125
RandomForest,TVAE,0.5402,0.4892,0.5402,0.5074,0.5855,1.3149,0.1098,0.1136
RandomForest,TVAE_HYBRID,0.5622,0.4584,0.5622,0.4694,0.5776,1.1662,0.033,0.0444
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
SVM,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,N/A,N/A,0.0,0.0
