Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5955,0.637,0.5955,0.6086,,,0.3706,0.376
DecisionTree,Original,0.6904,0.6935,0.6904,0.6919,,,0.4982,0.4983
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
LogisticRegression,Anonymous,0.7435,0.7302,0.7435,0.7353,,,0.5754,0.5767
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,,,0.5716,0.5815
RandomForest,Anonymous,0.7469,0.7246,0.7469,0.7288,,,0.5733,0.5789
RandomForest,Original,0.7695,0.755,0.7695,0.756,,,0.6105,0.6172
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
