epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,RandomForest,0.5045000000000001
40.0,CTGAN,RandomForest,0.49226666666666663
60.0,CTGAN,RandomForest,0.5480333333333333
60.0,TVAE,RandomForest,0.7687666666666667
80.0,CTGAN,RandomForest,0.529225
80.0,TVAE,RandomForest,0.8041
100.0,CTGAN,RandomForest,0.42873333333333336
100.0,TVAE,RandomForest,0.8063333333333333
120.0,CTGAN,RandomForest,0.50965
120.0,TVAE,RandomForest,0.8195749999999999
150.0,CTGAN,RandomForest,0.5268333333333334
150.0,TVAE,RandomForest,0.8135666666666667
200.0,CTGAN,RandomForest,0.4673333333333333
200.0,TVAE,RandomForest,0.8311999999999999
250.0,CTGAN,RandomForest,0.64686
250.0,TVAE,RandomForest,0.8284800000000001
300.0,CTGAN,RandomForest,0.7279999999999999
300.0,GaussianCopula,RandomForest,0.6629818181818181
300.0,TVAE,RandomForest,0.8412909090909092
400.0,CTGAN,RandomForest,0.7493666666666666
400.0,TVAE,RandomForest,0.8401333333333333
500.0,CTGAN,RandomForest,0.77056
500.0,TVAE,RandomForest,0.8408999999999999
750.0,CTGAN,RandomForest,0.7708
750.0,TVAE,RandomForest,0.83902
1000.0,CTGAN,RandomForest,0.779075
1000.0,TVAE,RandomForest,0.849675
