Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4583,0.5359,0.4583,0.4777,N/A,N/A,-0.0667,-0.0731
DecisionTree,GaussianCopula,0.5625,0.6081,0.5625,0.5771,N/A,N/A,0.082,0.0849
DecisionTree,Original,0.7083,0.768,0.7083,0.7189,N/A,N/A,0.4074,0.433
DecisionTree,TVAE,0.3438,0.4742,0.3438,0.3222,N/A,N/A,-0.098,-0.1481
KNN,CTGAN,0.5208,0.5451,0.5208,0.5312,N/A,N/A,-0.0575,-0.058
KNN,GaussianCopula,0.6042,0.5732,0.6042,0.585,N/A,N/A,0.0065,0.0067
KNN,Original,0.6146,0.5719,0.6146,0.5861,N/A,N/A,0.0034,0.0035
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
LogisticRegression,CTGAN,0.6354,0.5795,0.6354,0.5933,N/A,N/A,0.0175,0.0193
LogisticRegression,GaussianCopula,0.6771,0.6129,0.6771,0.6007,N/A,N/A,0.0498,0.0702
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,N/A,N/A,0.5512,0.5674
LogisticRegression,TVAE,0.6562,0.4657,0.6562,0.5448,N/A,N/A,-0.0602,-0.1211
RandomForest,CTGAN,0.6771,0.5773,0.6771,0.5724,N/A,N/A,0.004,0.0081
RandomForest,GaussianCopula,0.6354,0.5795,0.6354,0.5933,N/A,N/A,0.0175,0.0193
RandomForest,Original,0.8125,0.8073,0.8125,0.8062,N/A,N/A,0.5385,0.5449
RandomForest,TVAE,0.6146,0.4931,0.6146,0.5373,N/A,N/A,-0.1086,-0.1397
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,Original,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
