epochs,Dataset,Model,Accuracy
20.0,CTGAN,RandomForest,0.48132
20.0,TVAE,RandomForest,0.50736
40.0,CTGAN,RandomForest,0.38644
40.0,TVAE,RandomForest,0.66462
60.0,CTGAN,RandomForest,0.47966
60.0,TVAE,RandomForest,0.65978
80.0,CTGAN,RandomForest,0.38402
80.0,TVAE,RandomForest,0.67034
100.0,CTGAN,RandomForest,0.4554
100.0,TVAE,RandomForest,0.6591799999999999
120.0,CTGAN,RandomForest,0.35092
120.0,TVAE,RandomForest,0.6598
150.0,CTGAN,RandomForest,0.46176000000000006
150.0,TVAE,RandomForest,0.6740999999999999
200.0,CTGAN,RandomForest,0.45691999999999994
200.0,TVAE,RandomForest,0.68736
250.0,CTGAN,RandomForest,0.51158
250.0,TVAE,RandomForest,0.6792199999999999
300.0,CTGAN,RandomForest,0.6253
300.0,GaussianCopula,RandomForest,0.6030625000000001
300.0,TVAE,RandomForest,0.70904375
400.0,CTGAN,RandomForest,0.64836
400.0,TVAE,RandomForest,0.69472
500.0,CTGAN,RandomForest,0.6604
500.0,TVAE,RandomForest,0.71238
750.0,CTGAN,RandomForest,0.62246
750.0,TVAE,RandomForest,0.7222799999999999
1000.0,CTGAN,RandomForest,0.6262000000000001
1000.0,TVAE,RandomForest,0.71234
