epochs,Dataset,Model,Precision
20.0,CTGAN,RandomForest,0.49164
40.0,CTGAN,RandomForest,0.6301
60.0,CTGAN,RandomForest,0.575
80.0,CTGAN,RandomForest,0.58228
100.0,CTGAN,RandomForest,0.58016
120.0,CTGAN,RandomForest,0.48109999999999997
150.0,CTGAN,RandomForest,0.537
200.0,CTGAN,RandomForest,0.5633
200.0,TVAE,RandomForest,0.48230000000000006
250.0,CTGAN,RandomForest,0.51352
250.0,TVAE,RandomForest,0.48230000000000006
300.0,CTGAN,RandomForest,0.55193125
300.0,GaussianCopula,RandomForest,0.7284125
300.0,TVAE,RandomForest,0.5174125
400.0,CTGAN,RandomForest,0.54414
400.0,TVAE,RandomForest,0.5188200000000001
500.0,CTGAN,RandomForest,0.48230000000000006
500.0,TVAE,RandomForest,0.7151
1000.0,CTGAN,RandomForest,0.51616
1000.0,TVAE,RandomForest,0.80996
